;;x
EVTNAME97617;В $PROVINCENAME$ произошел инцидент, когда самураи, действуя под политическим лозунгом «Сонно Дзёи», совершили насилие в отношении иностранцев, ведущих бизнес в $STATENAME$. Инцидент повлиял на отношения сёгуната Токугава с иностранными державами, а также спровоцировал местных жителей на беспорядки.;
EVTDESC97617;Приказ об изгнании варваров;
EVTDESC97618;Императорский двор сделал беспрецедентный шаг и издал указ об изгнании иностранных варваров, присутствующих в Японии. Это противоречит традиционной роли Императора как подставного лица, бросает вызов власти сёгуната и может послужить дальнейшему разжиганию восстания.;
EVTNAME97620;Императорский двор сделал беспрецедентный шаг и издал указ об изгнании иностранных варваров, присутствующих в Японии. Это противоречит традиционной роли Императора как подставного лица и бросает вызов власти сёгуната. Клан $COUNTRY_ADJ$ должен решить, поддерживает ли он указ Императора или тихо выступает против него.;
EVTDESC97620;Смерть Иесады;
EVTNAME97621;Токугава Иэсада, 13-й сегун Японии, умер бездетным. Это начало борьбу внутри бакуфу за выбор замены. Южные даймё тозама хотят, чтобы Токугава Ёсинобу стал сёгуном, в то время как даймё фудай и чиновники сёгуната больше поддерживают Токугаву Иэмоти, хотя он ещё совсем ребёнок. Кажется очевидным, что независимо от того, кто из кандидатов победит, недовольные даймё увидят в этом потерю власти и создадут проблемы.;
EVTDESC97621;Tokugawa Yoshinobu is Shogun;
EVTDESC97622;Сёгунат сделал шаг в правильном направлении и назначил Токугаву Ёсинобу новым лидером бакуфу после смерти Иесады. Это всегда было предпочтительным выбором даймё тозама, и, возможно, это признак того, что бакуфу не только готово сделать все возможное, чтобы сохранить силу Японии, но также и знак того, что тозама получит больше влияния в сёгунате.;
EVTNAME97623;Несмотря на то, что даймё фудай, родственники и близкие союзники клана Токугава, поддержали назначение молодого Иэмоти новым сёгуном после смерти Иесады, вместо этого лидером бакуфу станет Ёсинобу... . Фудаи все больше встревожены коварным влиянием тозама, и есть опасения, что, возможно, пришло время для более грандиозных перемен.;
EVTDESC97623;Tokugawa Iemochi is Shogun;
EVTDESC97624;Снова угождая даймё фудай, всем родственникам и близким союзникам внутри бакуфу, сёгуном был назначен ребенок Иэмоти — вместо более разумного кандидата, выбранного тозама. Становится все более очевидным, что необходимы более масштабные изменения. Возможно, пришло время Императору править Японией, единому лидеру, чтобы привести нацию в эту новую эру?;
EVTNAME97625;Сёгунат сделал шаг в правильном направлении и назначил Токугаву Иэмоти новым лидером бакуфу после смерти Иесады. Это всегда было предпочтительным выбором даймё фудай, и, возможно, это признак того, что бакуфу не только готово сделать все возможное, чтобы сохранить силу Японии, но также и знак того, что чужаки-тозама сохранят свое влияние в бакуфу. минимум.;
EVTDESC97625;Инцидент Сакурадамон;
EVTDESC97626;Главный министр сёгуна был убит самураями-ронинами у самых ворот замка Эдо! Хотя ронины были либо убиты, либо совершили сэппуку, манифест, найденный на их телах, ясно дает понять, что их действия были реакцией на недавнюю чистку, устроенную главным министром против агитаторов внутри сёгуната. Это явный признак того, что восстание против бакуфу достигло недопустимой точки. Многие настаивают на том, что может потребоваться политика Кобу Гаттай — союза бакуфу и императорского двора.;
EVTDESC97627;Главный министр сёгуна был убит самураями-ронинами у самых ворот замка Эдо! Хотя ронины были либо убиты, либо совершили сэппуку, манифест, найденный на их телах, ясно дает понять, что их действия были реакцией на недавнюю чистку, устроенную главным министром против агитаторов внутри сёгуната. Это явный признак того, что восстание против бакуфу достигло недопустимой точки, и таким образом бакуфу начало компромиссную политику Кобу Гаттая — союз бакуфу и императорского двора. Некоторые видят в этом признак дальнейшей слабости.;
EVTNAME97630;Главный министр сёгуна был убит самураями-ронинами у самых ворот замка Эдо! Хотя ронины были либо убиты, либо совершили сэппуку, манифест, найденный на их телах, ясно дает понять, что их действия были реакцией на недавнюю чистку, устроенную главным министром против агитаторов внутри сёгуната. Это явный признак того, что восстание против бакуфу достигло неприемлемой точки, однако сёгунат отказывается идти на компромисс с императорским двором. Многие уверены, что это только ускорит грядущий конфликт.;
EVTDESC97630;Смерть императора Комэя;
EVTDESC97636;Некоторые считают, что император Комэй был убит — ему доставили носовой платок с примесью оспы, возможно, радикалами, опасающимися возможного компромисса между бакуфу и императорским двором. Как бы то ни было, смерть императора возвела молодого императора Мэйдзи на имперский трон и устранила любую возможность компромисса.;
EVTDESC97637;Среди даймё растет беспокойство, некоторые шепчутся о том, что сёгунат Токугава ослаб и не может справиться с вторжением иностранных держав. Мы получили известие, что сёгунат посоветовался с чужаком Тозама, возможно, ища новых союзников. Если это так, то это усугубляет травму с оскорблением.;
EVTNAME97640;Среди даймё растет беспокойство, некоторые шепчутся о том, что сёгунат Токугава ослаб и не может справиться с вторжением иностранных держав. Мы получили известие, что сёгунат посоветовался с даймё фудай, возможно, ища новых союзников. Вряд ли это неожиданно, хотя тозама соглашаются, что это ясно показывает, что сёгунат — это не будущее Японии.;
EVTDESC97640;Восстание Мэйдзи;
EVTDESC97641;Клан $FROMCOUNTRY_ADJ$ сделал смелый шаг: они заявили, что намерены восстановить власть императора над всей Японией. $COUNTRY_ADJ$ должно принять решение: мы оказываем поддержку императорскому двору или выполняем свой долг и поддерживаем сёгуна?;
EVTDESC97642;Клан $FROMCOUNTRY_ADJ$ сделал смелый шаг: они захватили дворец в Киото и заявили, что намерены восстановить власть императора над Японией. Ходят слухи, что они завербовали товарищей-даймё, чтобы они выстояли вместе с ними в этой предательской войне. Мы должны обратиться к нашим союзникам и немедленно двигаться!\n\n§RПРИМЕЧАНИЕ. Чтобы выиграть эту войну, вы должны занять Киото и столицу лидера повстанцев. Вы не должны допустить, чтобы Эдо был оккупирован, и вы не можете Белый Мир. Если вы играете за Белый Мир, вы проигрываете.§W;
EVTNAME97645;Клан $FROMCOUNTRY_ADJ$ сделал смелый шаг: они заявили, что намерены восстановить власть императора над всей Японией. У нас нет выбора, так как они вынудили нас. Либо мы сейчас восстанем против сёгуна, либо сёгун решит, что мы стоим за восстанием, даже если это не так. Пришло время сражаться!;
EVTDESC97645;Мы побеждены;
EVTNAME97646;Дворец Эдо занят, и наши верные даймё отступают. Наши советники говорят нам, что наш единственный выход — сложить оружие и позволить Императору победить. В новом порядке есть место для Токугавы.;
EVTDESC97646;Реставрация Мэйдзи;
EVTDESC97647;Силы клана $COUNTRY_ADJ$ триумфально вошли в Эдо, и сёгунат Токугава согласился на постоянный мир. Впервые со времен Сэнгоку Императорский двор снова правит Японией. Победа за нами!;
EVTNAME97648;Император Мэйдзи был восстановлен, чтобы править Японией. Императорский посланник прибыл во дворец $COUNTRY_ADJ$ в $CAPITAL$, чтобы потребовать от нас добровольной верности Императору.;
EVTDESC97648;Новая столица на Востоке?;
EVTNAME97650;В то время как Киото долгое время был столицей Японии и домом для императорского двора, город Эдо стал де-факто столицей — на протяжении веков он был центром власти сёгуната, а также культурным и административным центром. Императору нужно будет решить, должен ли двор переехать в Эдо и создать новую столицу... или остаться в Киото и вместо этого оживить его.;
EVTDESC97650;Мы побеждены;
EVTNAME97651;Императорский дворец в Киото занят, и наши союзники-даймё отступают. Наши советники говорят нам, что наш единственный выход — сложить оружие и позволить сёгуну победить. Если нам повезет, клан $COUNTRY_ADJ$ не будет уничтожен этим несчастным случаем.;
EVTDESC97651;Токугава Виктори;
EVTDESC97652;Войска клана Токугава триумфально вошли в Киото, и даймё-предатели согласились на постоянный мир. Бакумацу закончился, когда сёгунат снова взял под контроль - победа за нами!;
EVTDESC97605;Сёгунат Токугава вновь установил контроль над Японией. Посланник бакуфу прибыл во дворец $COUNTRY_ADJ$ в $CAPITAL$, чтобы потребовать нашего подчинения прямому правлению из Эдо.;
EVTNAME97660;У наших берегов появилось больше «черных кораблей», которыми командовал американец по имени коммодор Мэтью Перри. Вспыльчивый житель Запада требует положить конец японской политике Сококу, в частности, торговым правам в нескольких портах, экстерриториальности для американских моряков и защите затонувших кораблей. Сначала он требовал переговоров с императором, но это невозможно. Таким образом, сёгуну приходится либо согласиться с его требованиями, рискуя показаться слабым, либо отказаться и навлечь на нас гнев американцев.;
EVTDESC97660;The Taisho Era;
EVTNAME97665;С восхождением на престол императора Тайсё, чье слабое здоровье привело к переходу политической власти от старой гвардии Японии к имперскому сейму, влияние демократических партий начинает распространяться по всей стране. Хотя демократические традиции не имеют глубоких корней, идея предоставления избирательных прав как права отдельного японского гражданина получила гораздо более широкое признание. Студенты, профессора университетов и журналисты, вдохновленные западными школами мысли, организовали публичные демонстрации, требуя новых реформ.;
EVTDESC97665;Восстание Сацума;
EVTNAME97670;Растущее недовольство бывших самураев отменой системы хань и вытекающим из этого снижением их личного престижа вылилось в восстание. Восстание под предводительством одного из самых престижных самураев бывшего княжества Сацума, Сайго Такамори, привлекло большое количество последователей и станет серьезной проблемой для японского правительства.;
EVTDESC97670;Северные острова;
EVTNAME97673;Острова Сахалин и Курилы являются естественным продолжением наших владений на Хоккайдо, и мы должны попытаться захватить эти места до того, как это сделают русские.;
EVTDESC97673;Путь прогресса;
EVTNAME97674;$COUNTRY$ до сих пор шло по милитаристскому пути, решив противопоставить себя нашим соседям в интересах безопасности, рискуя этой безопасностью опасными войнами. Новое правительство $COUNTRY_ADJ$ определило, что это должно измениться. Мы должны идти по пути прогресса и вместо этого посвятить себя технологиям и вестернизации, если мы хотим оставаться свободными и целостными.;
EVTDESC97674;Линия преимущества;
EVTNAME97675;Правительство $COUNTRY_ADJ$ до сих пор придерживалось политики прогресса и вестернизации, надеясь, что продвижение $COUNTRY$ в соответствии с западными державами защитит нас. Теперь мы видим, что это ошибочно и что только агрессивным расширением наших границ мы можем надеяться сохранить безопасность собственно $COUNTRY$.;
EVTDESC97675;Китай в хаосе;
EVTNAME97676;Китайцы разделились на враждующие группировки, практически разрушив свою власть и оставив нам преимущество, которым мы были бы глупцами, если бы не воспользовались им. Политика «Линия преимущества» диктует, что мы должны нанести удар, и нанести удар как можно скорее.;
EVTDESC97676;Война с $FROMCOUNTRY$!;
EVTNAME97677;Считая $COUNTRY$ слабым, ненавистные японцы решили нанести нам удар и взять под контроль наше правительство. Они сочтут нас трудной мишенью!;
EVTDESC97677;Корейский вопрос;
EVTNAME97678;Наша национальная политика линии преимущества диктует, что мы должны расширить наши границы, если мы хотим поддерживать безопасность. Естественно, наша самая уязвимая точка лежит в соседней Корее. Они должны быть либо поставлены под наш непосредственный контроль, либо превращены в вассалов, если $COUNTRY$ хочет быть в безопасности. Уже генералы $COUNTRY_ADJ$ требуют войны.;
EVTDESC97678;Вопрос о Формозе;
EVTNAME97679;Недавнее убийство японских моряков у берегов Формозы вызвало в правительстве $COUNTRY_ADJ$ вопрос: должны ли мы использовать этот предлог, чтобы вмешаться и вырвать контроль над южным островом? Линия преимущества ясна, диктуя, что земля будет иметь неоценимое значение для наших целей. Но готовы ли мы рискнуть такой войной?;
EVTDESC97679;Спрос $FROMCOUNTRY_ADJ$;
EVTDESC97700;После недавних убийств ряда матросов $FROMCOUNTRY_ADJ$ у берегов Формозы правительство $FROMCOUNTRY_ADJ$ поставило требование: сдать остров, ради их безопасности, или будет война между $FROMCOUNTRY$ и $COUNTRY$. Мы знаем, что это всего лишь предлог для их милитаристской экспансии... но сможем ли мы противостоять их мощи?;
EVTNAME98000;В $FROMCOUNTRY$ восстали патриоты $COUNTRY_ADJ$, и взяли под свой контроль столицу. Они сообщают, что хотят вернуть все наши потерянные провинции под контроль $COUNTRY_ADJ$. Согласие означало бы риск войны, но отказ означал бы гнев нашего народа.;
EVTDESC98000;Пограничный спор с зулусами;
EVTNAME98001;Зулусы вырезали полк $COUNTRY_ADJ$, вторгшийся на их территорию без нашего разрешения. Хотя мы не искали войны с зулусами, теперь наша рука вынуждена. Мы должны либо отступить и извиниться, либо довести дело до конца.;
EVTDESC98001;Южноафриканский союз;
EVTNAME98002;Пришло время подумать о вступлении в южноафриканский союз.;
EVTDESC98002;Аннексия Трансвааля;
EVTNAME98003;Наш колониальный губернатор в Южной Африке несколько лет назад объявил об аннексии Трансвааля на основании специального ордера, которому буры упорно сопротивлялись. И Трансвааль, и Оранжское Свободное Государство обладают значительными ресурсами, которые могли бы представлять ценность для $COUNTRY$, и мы должны учитывать идею о том, что сохранение их в руках конкурентов за господство в Африке является такой же причиной для их аннексии, как и использование этих ресурсов для наших целей. себя. Сопротивление буров оказалось смущающим. Если мы не ответим на это силой, то $COUNTRY_ADJ$ покажется миру слабым.;
EVTDESC98003;Англо-бурская война;
EVTNAME98004;$FROMCOUNTRY_ADJ$ вступило в войну с Трансваалем, и многие буры опасаются, что $COUNTRY$ обязательно будет следующим. Они взывают к нашему правительству, чтобы оно объединилось с трансваальцами и помешало $FROMCOUNTRY_ADJ$ отобрать их земли и их права.;
EVTDESC98004;Южная Африка наша!;
EVTNAME98005;Мы контролируем всю Капскую колонию. Теперь уже не возникает вопроса, кто хозяева в Южной Африке: буры. Пришло время нам закончить войну и объединить буров под единым флагом.;
EVTDESC98005;Обращение от $FROMCOUNTRY$;
EVTNAME98006;К нам обратились дипломаты $FROMCOUNTRY_ADJ$, отчаянно нуждающиеся в помощи в своей войне. Хоть им и не хочется этого делать, они просят защиты у $COUNTRY_ADJ$. Если мы его предоставим, это значит, что мы установим превосходные права на их территорию.;
EVTDESC98006;Исход буров;
EVTNAME98007;С началом «Великого пути» многие буры стремятся покинуть Капскую колонию и отправиться либо в Трансвааль, либо в Оранжевое Свободное Государство, где, по их мнению, они смогут свободно преследовать свои собственные интересы.;
EVTDESC98007;Венгерские революционеры;
EVTNAME98008;Среди венгров было общее недовольство, и появилась группа молодых революционеров, требующих ряда уступок, включая свободу печати. Предоставление им даже этого не удовлетворит их полностью, но может дать правительству время подавить это восстание до того, как оно начнется.;
EVTDESC98008;Попытка переворота чешских радикалов;
EVTNAME98100;Группа чешских радикальных демократов попыталась свергнуть правительство в результате государственного переворота. Они потерпели неудачу, но их действия вдохновили их соотечественников на восстание с требованием свободы.;
EVTDESC98100;Лестничный заговор;
EVTNAME98105;Обращение с рабами на Кубе стало все более суровым после недавних беспорядков, кульминацией которых стал так называемый «Лестничный заговор», который относится к методу пыток, включающему привязывание раба к лестнице и избиение его плетью до тех пор, пока он не признается или не умрет. Реформисты в колонии призывают к изменению политики Испании и прекращению там работорговли. Невыполнение этого требования может привести к новым восстаниям, но уступка такому давлению может иметь серьезные последствия дома.;
EVTDESC98105;Плач Яры;
EVTNAME98200;Владелец кубинского сахарного завода Карлос Мануэль де Сеспедес издал «Grito de Yara», «Плач Яры», провозгласив независимость Кубы от $COUNTRY$ и свободу для своих рабов. У этого человека много последователей, и его призыв быстро распространился по всей колонии.;
EVTDESC98200;Великий бурский поход;
EVTNAME98205;Буры — потомки голландских поселенцев в восточной Капской колонии, и они никогда не мирились с британским правлением. Все больше и больше их покидают свои фермы и перемещаются на восток и северо-восток, вторгаясь на территории, традиционно управляемые коса и басуто. Конфликт с этими коренными народами кажется неизбежным, как, возможно, конфликт с самими бурами, если мы позволим любым землям, на которые они претендуют, остаться независимыми. Что касается британского правительства, буры являются британскими подданными... куда бы они ни пошли.;
EVTDESC98205;Вторжение лаагеров;
EVTNAME98206;Буры стремятся уйти от британского владычества, медленно покидая земли Капской колонии и направляясь то на восток, то на север в африканские дебри. Однако те, кто направляется на восток, вторгаются на территорию зулусов, и, похоже, им нет конца. У них есть огнестрельное оружие, но у нас превосходство в живой силе... и все наши вожди согласны в одном: если мы сейчас ничего не сделаем с бурами, они будут господствовать на нашей территории и превратят зулусов в колониальных подданных.;
EVTDESC98206;Битва на Кровавой реке;
EVTNAME98207;Вторжение буров в земли зулусов вызвало реакцию: битву у Кровавой реки, вызванную резней Пита Ретифа и его товарищей-пионеров после того, как они попытались договориться о границах нового поселения в Натале. Воортреккеры одержали решающую победу в битве и теперь создали новую колонию, и остается только вопрос, признают ли британцы их независимость или продолжат обращаться с ними как с подданными короны. В любом случае, дальнейший конфликт кажется неизбежным.;
EVTDESC98207;Наталья Республика;
EVTNAME98210;Буры, которые двинулись на восток, в земли зулусов, достигли удивительного соглашения с туземцами: они установили постоянные границы для своей новой колонии, и сделали это в относительном мире. Реальный вопрос остается, позволим ли мы этой новой республике Натальи устоять. В конце концов, буры — британские подданные, и их существование, несомненно, привлечет на их сторону еще больше буров… возможно, создав угрозу нашим африканским амбициям.;
EVTDESC98210;Британское правление Натала;
EVTNAME98211;Буры Натальи снова раздражены британским правлением, возмущаясь мыслью, что, хотя они и покинули Капскую колонию, они не избежали британской короны. Было несколько ссор с британскими вооруженными силами, и колониальное правительство рекомендует аннексировать Наталь до того, как ситуация ухудшится. Если мы этого не сделаем, то мы должны позволить бурам найти свой собственный путь - и понести ущерб для нашего престижа, который это повлечет за собой.;
EVTDESC98211;Наталья Независимость!;
EVTNAME98212;После серии ссор между британскими колониальными войсками и бурской милицией британская корона решила сократить свои потери и предоставить Наталу независимость. Наконец-то мы будем управлять своей судьбой, прочь от британцев сейчас и навсегда!;
EVTDESC98212;Аннексия Натальи;
EVTNAME98213;После ряда ссор между британскими колониальными войсками и бурской милицией мы получили от британского правительства требование о присоединении Наталии к Капской колонии. Несмотря на все наши попытки оставить британцев позади, они все равно следуют за нами и отказываются предоставить нам независимость! Итак, теперь мы стоим перед выбором: подчиниться и двигаться дальше, чтобы снова найти место вне их досягаемости, или бросить им вызов и рискнуть войной.;
EVTDESC98213;Буры отказались!;
EVTNAME98215;Мы получили известие от правительства Наталии, что оно бросает вызов нашей аннексии. Теперь мы должны либо начать войну, либо смириться с унижением.;
EVTDESC98215;Суверенитет Оранжевой реки;
EVTNAME98216;Буры медленно продвигались на север от Капской колонии в районы, на которые обычно претендуют басуто. После ряда стычек с туземцами они стали господствовать в долине Оранжевой реки и основали новую колонию, которая до сих пор формально находится под юрисдикцией $COUNTRY_ADJ$.;
EVTDESC98216;Буры захватывают Оранжевую долину;
EVTNAME98220;Мы терпели присутствие буров, колонистов, которые обижаются на британцев и которые шли на север, чтобы избежать их правления, вот уже несколько десятилетий. Мы даже думали, что можно мирно сосуществовать. После ряда стычек, все из которых закончились нашим поражением от рук их огнестрельного оружия, они захватили нашу землю в Оранжевой долине и объявили ее своей. Это возмутительно... но что мы можем сделать?;
EVTDESC98220;Трансваальский суверенитет;
EVTNAME98221;Буры медленно продвигались на север от Капской колонии в районы, на которые обычно претендуют ндебеле. После ряда стычек с туземцами они стали господствовать в Трансваале и основали новую колонию, которая до сих пор формально находится под юрисдикцией $COUNTRY_ADJ$.;
EVTDESC98221;Буры захватывают Трансвааль;
EVTNAME98225;Мы терпели присутствие буров, колонистов, которые обижаются на британцев и которые шли на север, чтобы избежать их правления, вот уже несколько десятилетий. Мы даже думали, что можно мирно сосуществовать. После ряда стычек, все из которых закончились нашим поражением от рук их огнестрельного оружия, они захватили нашу землю в Трансваале и объявили ее своей. Это возмутительно... но что мы можем сделать?;
EVTDESC98225;Исход буров;
EVTNAME98230;В связи с началом «Великого пути» многие буры стремятся оставить $PROVINCENAME$ позади и отправиться либо в Трансвааль, либо в Свободное государство Оранже, где, по их мнению, они смогут свободно преследовать свои собственные интересы.;
EVTDESC98230;Конвенция Санд Ривер;
EVTNAME98231;Колониальные власти $FROMCOUNTRY_ADJ$ встретились с правительством $COUNTRY_ADJ$ для определения требований к нашей независимости. Они хотят, чтобы влияние $FROMCOUNTRY_ADJ$ в $COUNTRY$ оставалось сильным, и хотели бы, чтобы мы отказались от любых законов, допускающих рабство или «неэтичное» обращение с иностранцами, работающими на нашей территории («уитлендцами», как их называют). Хотя наша независимость предрешена, мы должны решить, насколько мы будем соблюдать их требования.;
EVTDESC98235;Конвенция Оранжевой реки;
EVTNAME98236;Мигранты в больших количествах перемещаются через наши африканские колонии на пути к недавно присоединенному городу «Йоханнесбург» на краю гор Витватерсранд, где происходит крупная золотая лихорадка. Массовый приток иностранных жителей в этот район вызывает проблемы на наших границах и трения между нашими правительствами.;
EVTDESC98236;Кимберли Голдруш;
EVTNAME98240;Золото было обнаружено в провинции Кимберли, что привело к заявлениям правительств Трансвааля и Оранье о том, что этот регион по праву принадлежит им. Посредничество колониального правительства привело к тому, что Кимберли был передан гриквам, которые впоследствии согласились на аннексию $COUNTRY$. Это привело к значительной вражде между бурским и $COUNTRY_ADJ$ правительствами.;
EVTDESC98240;Южноафриканский союз;
EVTNAME98241;Пришло время подумать о вступлении в южноафриканский союз.;
EVTDESC98241;Обращение от $FROMCOUNTRY$;
EVTNAME98245;К нам обратились дипломаты $FROMCOUNTRY_ADJ$, отчаянно нуждающиеся в помощи в своей войне. Хоть им и не хочется этого делать, они просят защиты у $COUNTRY_ADJ$. Если мы его предоставим, это значит, что мы установим превосходные права на их территорию.;
EVTDESC98245;Аннексия Трансвааля;
EVTNAME98246;Наш колониальный губернатор в Южной Африке несколько лет назад объявил об аннексии Трансвааля на основании специального ордера, которому буры упорно сопротивлялись. И Трансвааль, и Оранжское Свободное Государство обладают значительными ресурсами, которые могли бы представлять ценность для $COUNTRY$, и мы должны учитывать идею о том, что сохранение их в руках конкурентов за господство в Африке является такой же причиной для их аннексии, как и использование этих ресурсов для наших целей. себя. Сопротивление буров оказалось смущающим. Если мы не ответим на это силой, то $COUNTRY_ADJ$ покажется миру слабым.;
EVTDESC98246;Англо-бурская война;
EVTNAME98247;$FROMCOUNTRY_ADJ$ вступило в войну с Трансваалем, и многие буры опасаются, что $COUNTRY$ обязательно будет следующим. Они взывают к нашему правительству, чтобы оно объединилось с трансваальцами и помешало $FROMCOUNTRY_ADJ$ отобрать их земли и их права.;
EVTDESC98247;Южная Африка потеряна;
EVTNAME98248;Буры оказались гораздо более устойчивыми, чем мы когда-либо могли себе представить, и теперь мы сталкиваемся с унизительной перспективой сдачи им Капской колонии. Кажется, у нас нет выбора, учитывая, что война идет так плохо, а Кейптаун уже оккупирован. Все, что мы можем сделать, это решить, будем ли мы идти по пути примирения с бурами и, возможно, сделать их будущими союзниками или нацелимся на возвращение в будущем и восстановление того, что было потеряно.;
EVTDESC98248;Веринингингский договор;
EVTDESC98249;$FROMCOUNTRY$ направило переговорщиков для выработки условий их капитуляции. Тон - примирительный, и ясно, что $FROMCOUNTRY_ADJ$ хочет построить с нами хорошие отношения после того, как дела этой войны будут сделаны.;
EVTNAME98250;$FROMCOUNTRY$ направило переговорщиков для выработки условий их капитуляции. Тон переговоров был очень резким, и ясно, что правительство $FROMCOUNTRY_ADJ$ сделает все возможное, чтобы вернуться и снова беспокоить нас в будущем.;
