EVTNAME46306;;
EVTDESC46306;x;
EVT31510OPTB;Сегодня правительство $FROMCOUNTRY_ADJ$ провело встречу с правительством $COUNTRY_ADJ$ в $CAPITAL$, выразив желание объединиться в «Великую Германию». Хотя такая нация, несомненно, была бы неслыханной в мире державой, есть те, кто выражает осторожность: великие державы мира, вероятно, будут возражать против такого союза. Стоит ли Великая Германия войны?;
EVT31510OPTC;Мы ничего не отдадим, чтобы сформировать Германию.;
EVT31510OPTD;Дайте ограниченную автономию нашим негерманским государствам.;
EVT31511OPTA;Дайте независимость нашим негерманским государствам.;
EVTNAME31512;$COUNTRY$ не заинтересовано в том, чтобы стать Германией.;
EVTDESC31512;Превосходно!;
EVT31515OPTA;Независимость от $FROMCOUNTRY$!;
EVT31515OPTB;$FROMCOUNTRY$ предоставило нам полную независимость.;
EVT31515OPTC;Мы присоединимся к Великой Германии, несмотря ни на что.;
EVT31516OPTA;Мы дадим нашим негерманским государствам независимость до присоединения к Германии.;
EVT31516OPTB;Наш путь лежит не с Германией.;
EVT31516OPTC;Великая Германия, вся она, наша судьба.;
EVTDESC31517;Негерманские государства $FROMCOUNTRY$ сначала получат независимость.;
EVT31518OPTA;Такой союз слишком рискован. Мы отказываемся от их предложения.;
EVT31518OPTB;Нам дарована независимость от $FROMCOUNTRY$!;
EVT31519OPTA;Великая Германия - наша судьба.;
EVT31519OPTB;Примем решение $FROMCOUNTRY_ADJ$.;
EVTNAME31520;Принимаем условия $FROMCOUNTRY_ADJ$ по присоединению к Германии.;
EVTDESC31520;Мы отказываемся от их предложения.;
EVT31521OPTA;Объединение с Германией;
EVTNAME31522;$FROMCOUNTRY$ приняло наше предложение.;
EVTDESC31522;О, нет!;
EVT31522OPTA;Распад $FROMCOUNTRY$;
EVTDESC31523;С распадом Австрии ряд наших территорий заявили о своем намерении вернуться под власть $COUNTRY_ADJ$.;
EVT31523OPTA;Мы приветствуем их возвращение.;
EVTDESC31526;С распадом Австрии мы, наконец, освободились от их власти.;
EVT31530OPTA;Пора!;
EVT31531OPTA;Мы наконец обрели независимость.;
EVTNAME800098;Мы подадим прошение о присоединении к Германии.;
EVTDESC800098;Такой союз слишком рискован.;
EVTNAME2560;$COUNTRY_ADJ$ Нападение на граждан в $FROMCOUNTRY$;
EVTDESC2560;Несколько граждан нашей страны подверглись нападению в столице $FROMCOUNTRY$, инцидент, вызванный серьезными различиями между идеологией нашей страны и их страны. $FROMCOUNTRY_ADJ$ крайне неохотно признавало свою причастность к этому делу, в результате чего наши отношения испортились.;
EVT2560OPTA;Буферное состояние;
EVTNAME2600;Это так называемое «буферное состояние» нас не остановит.;
EVTDESC2600;Хватит значит хватит.;
EVTNAME2605;$STATENAME$ Интеграция;
EVTDESC2605;$COUNTRY$ сохранил контроль над $STATENAME$, чтобы мы рассмотрели возможность его интеграции в $COUNTRY$ в целом. В $PROVINCENAME$ развеваются флаги $COUNTRY_ADJ$, которыми управляют граждане $COUNTRY_ADJ$, так что не кажется такой надуманной идея, что $STATENAME$ в конечном итоге будет считаться территорией $COUNTRY_ADJ$ миром в целом.;
EVTNAME2610;$PROVINCENAME$ Интегрировано в $COUNTRY$;
EVTDESC2610;$COUNTRY$ контролировало $PROVINCENAME$ в течение долгого времени - достаточно долго, чтобы те, кто в $PROVINCENAME$, действительно считали себя гражданами $COUNTRY_ADJ$, а остальной мир также считал претензии $COUNTRY_ADJ$ на провинцию законными. Хотя есть еще недовольные развитием, $PROVINCENAME$ теперь считается неотъемлемой частью $COUNTRY$.;
EVTNAME2611;$STATENAME$ Ассимиляция;
EVTDESC2611;$STATENAME$ считается территорией $COUNTRY_ADJ$ - это оспаривается только теми соседями, которые все еще признают претензии на эту территорию и утверждают, что многие в $STATENAME$ считают себя гражданами своей страны, а не нашей. Первым шагом к тому, чтобы сделать их претензии недействительными, было бы проведение политики, поощряющей ассимиляцию всех людей внутри $STATENAME$ ... они должны быть гражданами $COUNTRY_ADJ$ и не иметь никакой другой национальности, кроме нашей.;
EVTNAME2615;Политика ассимиляции отменена;
EVTDESC2615;С приходом к власти нового правительства и его более либеральными взглядами на меньшинства в рамках $COUNTRY$ вся политика ассимиляции, направленная на искоренение меньшинств других национальностей, была отменена. В вооруженных силах $COUNTRY_ADJ$ есть те, кто предупреждает, что это опасная идея и что сохранение этой иностранной идентичности приведет только к дальнейшему конфликту с нашими соседями, но пока их голоса игнорируются.;
EVTNAME2616;Сожжены флаги в $PROVINCENAME$;
EVTDESC2616;Демонстрация в $PROVINCENAME$ переросла в насилие, поскольку меньшинства подняли флаги $COUNTRY_ADJ$ и сожгли их — демонстрация их неприятия наших попыток ассимилировать их в $COUNTRY$. Власти разогнали демонстрацию, но в районе продолжает расти недовольство. Беспорядки распространились даже на других граждан, которые начали призывать правительство $COUNTRY_ADJ$ прекратить политику ассимиляции и оставить меньшинства в покое.;
EVTNAME2620;Инцидент в $PROVINCENAME$;
EVTDESC2620;Недавний арест иностранца в $PROVINCENAME$ привел к дипломатическому инциденту. Многие меньшинства внутри $PROVINCENAME$ утверждают, что этот человек был арестован исключительно за то, что он выступал против политики ассимиляции $COUNTRY_ADJ$ и пытался распространять информацию о мирном сопротивлении. Власти $COUNTRY_ADJ$ говорят, что интересы этого человека были отнюдь не мирными, и они подозревают, что он на самом деле работает на одного из наших соседей с претензией на $PROVINCENAME$. Какой бы ни была правда, реакция ни в коей мере не была мирной — ожидаются беспорядки, и власти говорят, что опасаются восстания в этом районе.;
EVTNAME2625;Флаги развеваются в $PROVINCENAME$!;
EVTDESC2625;Недавно в $PROVINCENAME$ прошел парад с высоко развевающимся флагом $COUNTRY_ADJ$, и его проводят люди, которые до недавнего времени, вероятно, вообще не считали бы себя гражданами $COUNTRY_ADJ$. На $PROVINCENAME$ по-прежнему претендует другая страна, но принятие людей $PROVINCENAME$ имеет большое значение для того, чтобы сделать устранение этого неизбежным фактом.;
EVTNAME2626;$PROVINCENAME$ Усвоил!;
EVTDESC2626;Флаг $COUNTRY_ADJ$ - единственный, который теперь можно встретить развевающимся на улицах $PROVINCENAME$. В конце концов, это $COUNTRY_ADJ$ и только $COUNTRY_ADJ$ можно считать территорией. Даже те, кто принадлежит к другой культуре, больше не считают себя частью наших соседей, хотя эти соседи могут быть недовольны ситуацией.;
EVTNAME2650;Претензии в $FROMCOUNTRY$;
EVTDESC2650;$FROMCOUNTRY$ продолжает владеть некоторыми из наших земель, землями, которые до сегодняшнего дня всегда считались частью национальной территории $COUNTRY_ADJ$. Однако $FROMCOUNTRY_ADJ$ программа ассимиляции преуспела в том, чтобы отучить наш собственный народ от всякого чувства, как если бы это было правдой. Они больше не считают себя $COUNTRY_ADJ$, да и международное сообщество, похоже, с ними согласно.;
EVTNAME2651;$FROMCOUNTRY_ADJ$ Земли;
EVTDESC2651;По нашему мирному договору с $FROMCOUNTRY$ мы должны отдать земли, которые им принадлежат по праву, и только те, которые им принадлежат.;
EVTNAME2660;Спрос $FROMCOUNTRY_ADJ$;
EVTDESC2660;По нашему мирному договору с $FROMCOUNTRY$ мы должны отдать земли, которые по праву принадлежат другому народу, но только те земли.;
EVT2600OPTA;Наши земли вернулись;
EVT2600OPTB;По договору с $FROMCOUNTRY$ часть земель $COUNTRY$ подлежит возврату. Однако мы имеем право только на те земли, на которые у нас есть претензии. Любые другие по всем правилам должны быть возвращены в $FROMCOUNTRY$. \n \n §RПРИМЕЧАНИЕ: Если вы взяли $FROMCOUNTRY_ADJ$ основные провинции, которые не являются также вашими основными провинциями в этой войне, активация опции «возврата» вернет эти земли. Будьте осторожны!§W;
EVTNAME2601;Мы должны начать интеграцию $STATENAME$.;
EVTDESC2601;Пусть $STATENAME$ пока останется отдельно.;
EVT2601OPTA;Интеграция отменена в $STATENAME$;
EVT2605OPTA;Обосновывать иск в $STATENAME$ уже не нужно, так как он уже есть.;
EVT2610OPTA;Да будет так.;
EVT2610OPTB;Да здравствует $COUNTRY$!;
EVT2611OPTA;Начинайте усваивать $STATENAME$.;
EVTNAME2612;Это вызовет только еще больший конфликт.;
EVTDESC2612;Да будет так!;
EVT2612OPTA;Ассимиляция отменена в $STATENAME$;
EVT2615OPTA;Политика ассимиляции, проводимая в настоящее время в $STATENAME$, больше не нужна.;
EVT2615OPTB;Это стоило усилий.;
EVT2616OPTA;Ассимиляция должна продолжаться!;
EVT2620OPTA;Отказаться от ассимиляции в $STATENAME$.;
EVT2626OPTA;Несчастный.;
EVT2626OPTB;Молодец, $PROVINCENAME$!;
EVT2650OPTA;Мы ничего не можем сделать.;
EVTDESC98905;Мы не потерпим этого!;
EVT2660OPTA;Проклятие.;
EVT2660OPTB;С приходом колониального губернатора $COUNTRY_ADJ$ в $PROVINCENAME$ начались попытки включить $COUNTRY_ADJ$ $STATENAME$ в более крупную колониальную администрацию Земли Руперта.;
EVT98300OPTA;Только держите территории с нашими ядрами. Вернуть остальные.;
EVT98301OPTA;Мы сохраним все, что заработали.;
EVT98302OPTA;Мы должны сохранять стабильность даже во время войны.;
EVT98310OPTA;Это прискорбно.;
EVT11380022OPTA;Мы увидим.;
EVT11380022OPTB;Говорили люди из $COUNTRY_ADJ$.;
EVT11380022OPTC;Этого нельзя допустить. Вместо них будут править либералы.;
EVT11380022OPTD;Этого нельзя допустить. Вместо этого должны править консерваторы.;
EVT999060OPTA;Этого нельзя допустить. Вместо них будут править социалисты.;
EVT999060OPTB;Хватит значит хватит. Людям явно нельзя доверять делать то, что лучше для $COUNTRY$.;
EVT999060OPTC;Мы будем поощрять ура-патриотистов.;
EVT999065OPTA;У нас нет причин вмешиваться.;
EVT999065OPTB;Хватит этого подстрекательства.;
EVT999065OPTC;Поддержите аболиционистов.;
EVT80121OPTA;Пусть спор идет своим чередом.;
EVT80123OPTA;Мы не будем реформировать законы о рабстве.;
EVT80125OPTA;Повстанцы должны быть уничтожены!;
EVT80125OPTB;Но как долго?;
EVT80126OPTA;Повстанцы должны быть уничтожены!;
EVT80120OPTA;Долой маньчжуров!;
EVT80120OPTB;Победа за нами!;
EVTNAME80120;Отправьте войска, чтобы подавить насилие.;
EVTDESC80120;Мы потерпим это пока.;
EVTNAME80121;Хуэй Беспорядки в $STATENAME$;
EVTDESC80121;Несмотря на терпимость к религиозным обычаям, мусульмане хуэй в $PROVINCENAME$ возмущены дискриминацией со стороны правительства Цин. Волнения в провинции вызвали антиманьчжурские настроения даже среди немусульман. Насилие грозит распространиться по всему $STATENAME$.;
EVTNAME80122;Восстание Пантай;
EVTDESC80122;Имейте мир с китайцами хань! \n Долой двор Цин! \n \n В южной провинции Юньнань вспыхнуло восстание, которое возглавил повстанец по имени Ду Вэньсю. Иностранные послы называют это событие «Пантхайским восстанием», восстанием мусульман в Юньнани. Войска этого человека уже захватили Дали и изгнали цинского губернатора, вынудив наше правительство заняться этим вопросом напрямую.;
EVTNAME80123;Пантейское восстание подавлено;
EVTDESC80123;С войсками Цин, марширующими в Куньмин, восстание Пантай официально закончилось. Повстанцы и их лидеры разгромлены, и уже принимаются меры, чтобы не допустить дальнейших беспорядков.;
EVTNAME80125;Пантейское восстание победило!;
EVTDESC80125;Мы изгнали ненавистных маньчжур из Юньнани. Наконец-то победа за нами!;
EVTNAME80126;Дунганское восстание;
EVTDESC80126;В то время как в провинции Синьцзян происходят беспорядки под предводительством мусульман, таджxкий авантюрист по имени Якуб Бег привел повстанцев к захвату столицы Кашгара и изгнал цинских губернаторов. Ситуация на границе, кажется, вышла из-под контроля, поскольку эти мусульмане объявили независимое государство и полный джихад против Императора. Это восстание против нашего правления амбань Синьцзяна называет дунганским восстанием.;
EVTNAME80127;Дунганское восстание подавлено;
EVTDESC80127;С войсками Цин, марширующими в Кашгар, дунганское восстание официально закончилось. Повстанцы и их лидеры разгромлены, и уже принимаются меры, чтобы не допустить дальнейших беспорядков.;
EVT90904OPTA;Дунганское восстание победило!;
EVT90904OPTB;Мы изгнали ненавистных маньчжур из Кашгарии. Наконец-то победа за нами!;
EVTNAME90904;Этого нельзя терпеть!;
EVTDESC90904;Позвольте им уйти. Мы не будем противодействовать им.;
EVTNAME160001;$FROMCOUNTRY_ADJ$ Восстание;
EVTDESC160001;Возможно, $FROMCOUNTRY$ переросло нашу способность их контролировать? Они гораздо более приветствовали западные обычаи, вплоть до того, что теперь считают себя «цивилизованными» и наравне с варварами вне $COUNTRY$... Более того, они даже считают себя выше нас и сбросили власть $COUNTRY_ADJ$ как бы это была плохая тень. Они стремятся проложить независимый курс, но должны ли мы им позволять? Должны ли мы позволять им делать вид, что они не являются частью Китая, и отвергать наследие тысячелетий?;
EVTNAME1600010;Анархия на юге;
EVTDESC1600010;Мы получаем тревожные сообщения об анархии на юге Китая. Крестьянская армия во главе с повстанцами Фэн Юньшанем и Вэй Чанхуэй провозгласила господство так называемого «Небесного царства» и изгнала местных правителей. Все в правительстве Цин согласны с тем, что мы не можем признать этих повстанцев заслуживающими доверия - если мы это сделаем, это поднимет вопрос о том, сохраняется ли Мандат Небес на Императорском престоле. Этого нельзя допустить, и поэтому губернаторам должна быть предоставлена ??возможность сокрушить мятежников и восстановить порядок во имя Императора.;
EVTNAME160002;Восстание тайпинов;
EVTDESC160002;Как мы и опасались, так называемое «Царство Небесное» взяло под свой контроль земли на юге, и все попытки местных губернаторов восстановить власть провалились. Это позор для престижа Императорского престола, что мы должны соизволить признать, что эти мятежники существуют и что с ними нужно разобраться раз и навсегда. Некоторые даже начинают сомневаться в Мандате Неба, возможна ли такая угроза. Однако если мы не будем действовать, повстанцы наверняка получат контроль не только над югом, но, возможно, и над всем Китаем.;
EVTNAME160003;Восстание тайпинов подавлено;
EVTDESC160003;Мы разрушили «Небесное Царство» и доказали всему Китаю, что династия Цин все еще поддерживает Небесный Мандат. Мы больше не потерпим восстаний.;
EVTNAME160004;Перемирие с Царством Небесным;
EVTDESC160004;Хотя мы еще не покончили с «Небесным царством», тот факт, что повстанцы вынудили нас к прекращению огня и не были подавлены, воспринимается нашими китайскими подданными как признак слабости. Официальные лица предсказывают восстания во многих других местах в ближайшие годы.;
EVTNAME160006;Перемирие с маньчжурами;
EVTDESC160006;Хотя мы еще не закончили сражаться с ненавистными маньчжурами, на данный момент Царство Небесное претендует на победу. Мы заключили перемирие, и теперь маньчжуры должны будут справиться с восстаниями на своей земле, поскольку люди осознают, что их мандата на правление больше не существует. Весь мир смотрит на нас.;
EVTNAME160007;Война против тайпинов;
EVTDESC160007;Продолжающееся существование тайпинских повстанцев позорит цинское правительство и нашего императора. Раздаются призывы к возобновлению войны, и на этот раз к общенациональным усилиям по призыву людей в цинскую армию. Будет сильное сопротивление, но Император постановил, что Царство Небесное должно быть уничтожено!;
EVTNAME160008;Война против маньчжуров;
EVTDESC160008;Перемирие с цинским императором подошло к концу, и уже раздались призывы к продолжению тайпинской революции. Маньчжуры должны быть брошены! Весь Китай должен быть освобожден!;
EVTNAME160009;Тайпины побеждают!;
EVTDESC160009;Мы свергли ненавистных маньчжуров и взяли под свой контроль весь Китай. Теперь, на глазах у всего мира, приходит настоящее испытание: преобразование нации в истинное Царство Небесное.;
EVTNAME160011;Царство Небесное;
EVTDESC160011;В южных землях появился возмутитель спокойствия. Согласно сообщениям, этот человек утверждает, что получил видение о том, что он младший брат Иисуса Христа и был послан, чтобы избавить Китай от коррумпированных правителей маньчжурской династии Цин. Он завоевывает новообращенных в христианство, и кажется, есть много желающих выслушать его призывы к мятежу и присоединиться к его так называемому «Царству Небесному».;
EVTNAME160012;Нехватка женщин;
EVTDESC160012;Из-за низкого значения, придаваемого рождению дочерей, детоубийство женского пола стало широко распространено на большей части Китая. Эта практика стала настолько распространенной, что фактически привела к нехватке женщин.;
EVTNAME160013;Тайпинские миссионеры в $STATENAME$;
EVTDESC160013;К нам поступили сообщения христианских миссионеров в $PROVINCENAME$, последователей так называемого «Царства Небесного». Их действия не вызывали бы столь возражений, если бы они также не проповедовали мятеж против маньчжуров, и, что гораздо хуже, хотя провинциальные губернаторы пытались остановить миссионеров, это, казалось, только усилило их поддержку. Их листовки теперь по всему $STATENAME$!;
EVTNAME164504;Антиманьчжурские настроения;
EVTDESC164504;Многим людям в Китае династия Цин кажется неэффективной и коррумпированной, управляемой маньчжурскими иностранцами. Горькая ненависть зашевелилась, особенно на юге. Особенно это касается $STATENAME$, откуда поступают сообщения о беспорядках после недавней стычки между местными жителями и маньчжурскими властями.;
EVTNAME160016;Hong Xiuquan;
EVTDESC160016;Человеку, стоящему за так называемым «Небесным Царством», дали имя: Хун Сюцюань. Бывший фермер, который пытался сдать экзамены на государственную службу в Гуанчжоу и потерпел неудачу, теперь он стал харизматическим провидцем, пользующимся антиманьчжурскими настроениями на юге. Некоторые говорят, что он сумасшедший и сумасшедший, но, тем не менее, он представляет опасность для династии Цин, и его слова находят нетерпеливые уши.;
EVTNAME160017;Yang Xiuqing;
EVTDESC160017;Во дворец поступили сообщения о том, что продавец дров по имени Ян Сюцин начал ходить по южным землям, утверждая, что говорит голосом Бога. Несмотря на его кажущееся безумие, этот человек доказал свою эффективность в распространении информации о так называемом «Царстве Небесном».;
EVTNAME160020;Прохристианские беспорядки в $STATENAME$!;
EVTDESC160020;Последователи «Царства Небесного» создают новые проблемы на юге. Они уже сильно укреплены внутри $PROVINCENAME$, и многие цинские советники считают, что это полностью вне нашего контроля. Анархия кажется разгулом, и по всему $STATENAME$ эти повстанцы кричат ??об измене. Никто не может что-то с этим сделать?;
EVTNAME160025;Секта тайпинов распространяется!;
EVTDESC160025;Последователи так называемого «Царства Небесного» распространили свое влияние еще дальше. По словам официальных лиц $STATENAME$, христианские повстанцы были замечены в $PROVINCENAME$, и настроения против династии Цин растут во всем штате.;
EVT160025OPTA;Смерть Хун Сюцюаня;
EVT160025OPTB;Наш возлюбленный лидер, славный и святой Хун Сюцюань, скончался и вознесся на Небеса, чтобы получить заслуженную награду от Бога. Те из нас, кто остался, должны теперь посмотреть, что станет с Царством Небесным без его руководства. Некоторые говорят, что бразды правления должны быть отданы его сыну Хун Тяньгуйфу. Другие говорят, что Хун Тяньгуйфу — шут, а республика — это путь вперед. Наконец, еще один рассматриваемый вариант — настоящая теократия без наследственного правления.;
EVT160025OPTC;Установите новую династию под руководством Хун Тяньгуйфу.;
EVT160025OPTD;Династия Цин снова должна править.;
EVTNAME160026;Пусть армия правит Тайпином.;
EVTDESC160026;Держите теократию.;
EVTNAME160501;Отступление на Формозу;
EVTDESC160501;Когда наши владения на материке потеряны, все, что у нас осталось, — это наша крепость на острове Формоза. Среди того немногого, что осталось от правительства $COUNTRY_ADJ$, есть предложение отказаться от $CAPITAL$ и перенести столицу в Тайбэй. Это никоим образом не гарантирует нашу безопасность, но может быть единственным средством выживания, которым мы располагаем.;
EVTNAME160502;Миссионеры в $PROVINCENAME$;
EVTDESC160502;Христианские миссионеры разжигают беспорядки на юге Китая, раздавая брошюры, чтобы привлечь новообращенных. Это не было бы столь нежелательным, если бы брошюра не проповедовала также мятеж против династии Цин. Беспокоит то, что столько в $PROVINCENAME$ готовы слушать этих дураков.;
EVTNAME1605020;Антиманьчжурские настроения;
EVTDESC1605020;Многим людям в Китае династия Цин кажется неэффективной и коррумпированной, управляемой маньчжурскими иностранцами. Горькая ненависть зашевелилась, особенно на юге. Особенно это касается $PROVINCENAME$, откуда поступают сообщения о беспорядках после недавней стычки между местными жителями и маньчжурскими властями.;
EVTNAME16050214;Смерть Хун Сюцюаня;
EVTDESC16050214;После периода вынужденной изоляции Хун Сюцюань умер — одни говорят, что от яда, другие — от болезни. Независимо от причины, нация погрузилась в траур по своему любимому лидеру. Сын Хун Сюцюаня, Хун Тяньгуйфу, готов взять на себя роль отца в качестве лидера, но некоторые опасаются, что он не подойдет. Они выступают за восстановление династии Цин. Другие говорят, что $COUNTRY$ должно стать республикой, подражая западным державам. Готово ли $COUNTRY$ к таким переменам, сказать сложно.;
EVTNAME16050215;Отступление на Тайвань;
EVTDESC16050215;Когда наши владения на материке потеряны, все, что у нас осталось, — это наша крепость на острове Тайвань. Среди того немногого, что осталось от гоминьдановского правительства, есть предложение отказаться от $CAPITAL$ и перенести столицу в Тайбэй. Это никоим образом не гарантирует нашу безопасность, но может быть единственным средством выживания, которым мы располагаем. Однако мы никогда не откажемся от наших законных прав на материк.;
EVTNAME162503;Победа над Гоминьданом;
EVTDESC162503;Когда их армии потерпели поражение, их провинции были оккупированы, а их правительство отступило на Тайвань, стало ясно, что у Гоминьдана больше нет желания сражаться. Теперь мы можем претендовать на господство над Китаем.;
EVTNAME164503;Секта тайпинов распространяется!;
EVTDESC164503;Последователи так называемого «Царства Небесного» заполонили еще одну провинцию. По словам официальных лиц $PROVINCENAME$, были замечены последователи Хун Сюцюань, и настроения против династии Цин растут.;
EVTNAME164505;Царство Небесное;
EVTDESC164505;В южных землях появился возмутитель спокойствия. Согласно сообщениям, этот человек утверждает, что получил видение о том, что он младший брат Иисуса Христа и был послан, чтобы избавить Китай от коррумпированных правителей маньчжурской династии Цин. Он завоевывает новообращенных в христианство, и кажется, есть много желающих выслушать его призывы к мятежу и присоединиться к его так называемому «Царству Небесному».;
EVTNAME164599;Yang Xiuqing;
EVTDESC164599;Во дворец поступили сообщения о том, что продавец дров начал бродить по южным землям, утверждая, что говорит голосом Бога. Несмотря на его кажущееся безумие, этот человек доказал свою эффективность в распространении информации о так называемом «Царстве Небесном».;
EVTNAME164600;Синьхайская революция;
EVTDESC164600;Силы революции повернулись против $COUNTRY_ADJ$ Императора. Поскольку инакомыслие грозит перерасти в хаос, лидеры армии Бэйян потребовали от императора отречения от престола. Ликующие толпы в $CAPITAL$ приветствовали эту новость, но мало кто знает о силах, которые сейчас выстраиваются в очередь, чтобы взять под контроль правительство. Гоминьдановцы потребовали преобразования $COUNTRY$ в республику со свободными выборами. Однако армейские лидеры пригрозили выступить против Гоминьдана и потребовали, чтобы республика находилась под строгим контролем Бэйяна.;
EVTNAME164601;The Tongmenghui;
EVTDESC164601;Революционные общества возникают по всему Китаю, и недавно мы получили известие, что некоторые из этих обществ объединились под названием «Тунмэнхуэй» или «Объединенная китайская лига». Их заявленная цель - возрождение Чжунхуа или концепции, согласно которой Китай должен быть нацией, управляемой республикой, которая представляет все его различные народы. Эти революционеры желают, чтобы $COUNTRY$ освободилось от иностранного влияния, и, кажется, не удовлетворяются ожиданием и тем, какие реформы проведет монархия $COUNTRY_ADJ$. Что еще более тревожно, так это то, что некоторые из региональных полевых командиров, похоже, им помогают.;
EVTNAME164602;Революционное восстание в $STATENAME$;
EVTDESC164602;Революционеры, стремящиеся свергнуть монархию $COUNTRY_ADJ$, поднимают бунт в $STATENAME$. Инцидент, по-видимому, начался в $PROVINCENAME$ после того, как демонстрация местных рабочих переросла в насилие. Хотя власти уже въехали, ущерб нанесен. Остается определить, как мы реагируем на эту возмутительную провокацию.;
EVT160001OPTA;Боксеры в $STATENAME$;
EVT160001OPTB;Члены протонационалистического Движения Ихэтуань, также известные как Боксеры, устроили восстание в $PROVINCENAME$. В то время как восстание было первоначально подавлено силами $COUNTRY_ADJ$, новости о присутствии движения распространились по всему $STATENAME$, и уже есть новые сообщения о столкновениях.;
EVT160002OPTA;Раздавить их!;
EVT160003OPTA;Долой маньчжуров!;
EVT160004OPTA;Победа за нами!;
EVT160006OPTA;Неприемлемо!;
EVT160006OPTB;Ура!!;
EVT160007OPTB;Война должна продолжаться!;
EVT160012OPTA;Мы не можем допустить последствий призыва.;
EVT160012OPTB;Мы не готовы вести такую ??войну.;
EVT160013OPTA;Соберите брошюры и заставьте этих миссионеров замолчать — сейчас же.;
EVT160015OPTA;Мы потерпим это, пока.;
EVT160017OPTA;Этого нельзя терпеть!;
EVT160020OPTA;Он не имеет значения.;
EVT160026OPTA;Это начинает быть проблемой.;
EVTNAME99000;Хм, это беспокоит.;
EVTDESC99000;Кажется, у нас мало выбора.;
EVTNAME99001;Общество праведной гармонии;
EVTDESC99001;«Поддержите Цин! Уничтожьте иностранца! \n \n Многие китайцы приходят в ярость из-за продолжающегося вторжения жителей Запада в Империю. Они свободно ходят, безнаказанно распространяют христианство и игнорируют имперские законы. Появилось движение под названием Праведное Общество Гармонии, известное иностранцам как «боксеры», его миссия – любыми средствами вытеснить западное влияние из Империи Цин. Некоторые обеспокоены тем, что нападения на жителей Запада могут вызвать гнев иностранцев на нас, но есть и те, кто видит в этом благо. Гнев против жителей Запада, даже если он означает определенный хаос и разруху в наших провинциях, означает поддержку цинского правительства.;
EVTNAME99005;Боксеры в $STATENAME$;
EVTDESC99005;Нападение на иностранного купца в $PROVINCENAME$ сигнализировало о приходе боксерского движения в $STATENAME$. Уже были замечены флаги Праведного Общества Гармонии, их последователи вербуют соотечественников-китайцев для поддержки правительства Цин в его борьбе.;
EVTNAME99006;Нападение на иностранцев в $STATENAME$;
EVTDESC99006;На протяжении всего $STATENAME$ боксеры атакуют западное влияние. Контрабандисты, миссионеры, торговцы опиумом... всех, кого они могут задержать, убивают или заставляют бежать, спасая свою жизнь. У нас есть выбор: либо смотреть в другую сторону, рискуя гневом великих держав за эти «зверства», либо направить силы для подавления боксеров и рискнуть гневом собственного народа.;
