;;
IS_IN_REGION;находится в регионе;
EVTDESC98865;С приходом колониального губернатора $COUNTRY_ADJ$ в $PROVINCENAME$ начались попытки включить $COUNTRY_ADJ$ $STATENAME$ в более крупную кенийскую колонию.;
EVTDESC98870;С приходом колониального губернатора $COUNTRY_ADJ$ в $PROVINCENAME$ начались попытки включить $COUNTRY_ADJ$ $STATENAME$ в более крупную колонию Танганьикан.;
EVTDESC98875;С приходом колониального губернатора $COUNTRY_ADJ$ в $PROVINCENAME$ начались попытки включить $COUNTRY_ADJ$ $STATENAME$ в более крупную малийскую колонию.;
EVTDESC98880;С приходом колониального губернатора $COUNTRY_ADJ$ в $PROVINCENAME$ начались попытки включить $COUNTRY_ADJ$ $STATENAME$ в более крупную ливийскую колонию.;
EVTDESC98883;С приходом колониального губернатора $COUNTRY_ADJ$ в $PROVINCENAME$ начались попытки включить $COUNTRY_ADJ$ $STATENAME$ в более крупную колонию Занзибара.;
EVTDESC98884;С приходом колониального губернатора $COUNTRY_ADJ$ в $PROVINCENAME$ начались попытки включить $COUNTRY_ADJ$ $STATENAME$ в более крупную ангольскую колонию.;
EVTDESC98885;С приходом колониального губернатора $COUNTRY_ADJ$ в $PROVINCENAME$ начались попытки включить $COUNTRY_ADJ$ $STATENAME$ в более крупную мозамбикскую колонию.;
EVTDESC98890;С приходом колониального губернатора $COUNTRY_ADJ$ в $PROVINCENAME$ начались попытки включить $COUNTRY_ADJ$ $STATENAME$ в более крупную мавританскую колонию.;
EVTDESC98891;С приходом колониального губернатора $COUNTRY_ADJ$ в $PROVINCENAME$ начались попытки включить $COUNTRY_ADJ$ $STATENAME$ в Марокко.;
EVTDESC98892;С приходом колониального губернатора $COUNTRY_ADJ$ в $PROVINCENAME$ начались попытки включить $COUNTRY_ADJ$ $STATENAME$ в более крупную ганскую колонию.;
EVTDESC98893;С приходом колониального губернатора $COUNTRY_ADJ$ в $PROVINCENAME$ начались попытки включить $COUNTRY_ADJ$ $STATENAME$ в более крупную колонию Буркина-Фасо.;
EVTDESC98895;С приходом колониального губернатора $COUNTRY_ADJ$ в $PROVINCENAME$ начались попытки включить $COUNTRY_ADJ$ $STATENAME$ в более крупную угандийскую колонию.;
EVTNAME1316081;Инцидент в Коулуне;
EVTDESC1316081;Пьяный бунт большой группы британских моряков на берегу Коулуна привел к гибели местного жителя. По праву, матросы должны быть преданы суду и казнены цинским магистратом. Однако британцы потребовали экстерриториальности, то есть их граждан будут судить британские судьи. Это неизбежно приведет к их освобождению и гневу наших граждан, но требование казни этих мужчин может привести к войне.;
EVTNAME1316082;Неравный договор;
EVTDESC1316082;Война с $FROMCOUNTRY$ не ладится. Эти проклятые иностранцы находятся на наших землях и блокируют наши порты, и, к смущению нашего правительства, похоже, мы мало что можем сделать, чтобы остановить их. Дипломаты $FROMCOUNTRY_ADJ$ обратились к нам, чтобы договориться о «справедливом» урегулировании. Хотя мы могли бы затянуть войну и посмотреть, есть ли у $FROMCOUNTRY_ADJ$ средства для завершения штурма, в наших интересах было бы предоставить им уступку и репарации. На самом деле, это могло бы даже в чем-то помочь нам, хотя потеря нашего престижа была бы значительной.;
EVTNAME1316083;$FROMCOUNTRY$ Согласен;
EVTDESC1316083;Правление $FROMCOUNTRY_ADJ$ подписало наш мирный договор, предоставив нам концессионный порт на их берегу, а также репарации. Это значительно улучшило отношения между нашими странами и должно иметь большое значение для обеспечения того, чтобы влияние $COUNTRY_ADJ$ в Китае оставалось сильным.;
EVTNAME1316084;$FROMCOUNTRY$ отказался!;
EVTDESC1316084;$FROMCOUNTRY_ADJ$ отказались представить. Война должна продолжаться.;
EVTNAME1316085;Симоносекский договор;
EVTDESC1316085;Война с $FROMCOUNTRY$ не ладится. Проклятые японцы находятся на наших землях и блокируют наши порты, и, к смущению нашего правительства, похоже, мы мало что можем сделать, чтобы остановить их. Дипломаты $FROMCOUNTRY_ADJ$ обратились к нам, чтобы договориться о "справедливом" урегулировании - передать Формозу и выплатить репарации. Хотя мы могли бы затянуть войну и посмотреть, есть ли у $FROMCOUNTRY_ADJ$ средства для завершения штурма, в наших интересах было бы дать им то, что они хотят, хотя потеря нашего престижа была бы значительной.;
EVTNAME1316086;$FROMCOUNTRY$ Согласен;
EVTDESC1316086;Правление $FROMCOUNTRY_ADJ$ подписало наш мирный договор, предоставив нам Формозу, а также репарации. Это значительно улучшило отношения между нашими странами и должно иметь большое значение для обеспечения того, чтобы влияние $COUNTRY_ADJ$ в Азии оставалось сильным.;
EVTDESC1316175;Мы потеряли всякое терпение по отношению к варварам, называющим себя нашими «хозяевами». Они игнорируют наши законы, наши обычаи и при каждом удобном случае навязывают себе щедрость $COUNTRY_ADJ$ престола. Пришло время изгнать их, отказать им в свободном правлении на наших землях и в портах и ??продемонстрировать истинную мощь нашего Императора.;
EVTNAME1316176;$COUNTRY_ADJ$ Посланник изгнан;
EVTDESC1316176;Отношения с $FROMCOUNTRY$ были прохладными, с примесью горечи из-за превосходства нашей нации. В последнее время ситуация достигла точки кипения, и мы получили сообщение о том, что уполномоченный $COUNTRY_ADJ$ в суде $FROMCOUNTRY_ADJ$ уволен. Действительно, граждане $COUNTRY_ADJ$ по всему $FROMCOUNTRY$ сообщают о домогательствах и откровенном насилии. $COUNTRY_ADJ$ отказывают в швартовке в китайских гаванях. Это планомерная кампания императора $FROMCOUNTRY_ADJ$ по уменьшению нашего влияния.;
EVTNAME1316180;Империя Великого Цин;
EVTDESC1316180;Китаю не нужны и не интересны иностранцы и их дары, какими бы изобретательными они ни были. Только благодаря щедрости императора иностранцам вообще позволено торговать, и всякая такая торговля должна происходить по нашей воле. Йи варвары должны трепетать, поскольку они подчиняются нам и не проявляют небрежности! Варвары должны кланяться китайскому императору в порядке, обычном для посланников-данников.;
EVTNAME1316181;Инцидент со стрелой;
EVTDESC1316181;Официальные лица Цин недавно поднялись на борт «Стрелы», принадлежащего китайцам корабля (лорча), которое подозревалось в пиратстве и контрабанде. Двенадцать китайских членов экипажа были арестованы властями Цин по подозрению в пиратстве. Однако британские официальные лица потребовали освобождения моряков, утверждая, что, поскольку судно недавно было зарегистрировано в Великобритании, оно находится под их защитой. Императорский двор был в ярости из-за этого утверждения, предполагая, что согласие на британские требования даст контрабандистам свободу действий по всему Китаю.;
EVTDESC1316182;Чиновники Цин недавно поднялись на борт «Стрелы», корабля, который, согласно всем сообщениям, в то время носил британский флаг. Китайцы утверждают, что это не так, и мы получили известие, что они намерены пресечь торговлю опиумом по всей Империи. Британское правительство вооружилось, заявив, что мы должны оказать влияние на Цин, если хотим сохранить свои позиции на Дальнем Востоке.;
EVTNAME131709;Инцидент в Коулуне;
EVTDESC131709;Инцидент, который начался с убийства пьяными моряками китайца, перерос в более крупный кризис с правительством Цин. Мы настояли на том, чтобы этих моряков судил британский судья — варварская китайская судебная система приведет к тому, что эти люди получат что угодно, но только не справедливое судебное разбирательство. Китайцы потребовали выдать мужчин и, более того, дать им право наказывать британских граждан по мере необходимости. Конфронтация привела к более серьезным торговым санкциям, применяемым против британских торговцев, и угрозам худшего. Наш престиж Империи, с которой нужно считаться, находится под угрозой.;
EVTNAME131710;Неравный договор;
EVTDESC131710;Демонстрируя дипломатическую силу, дипломаты $FROMCOUNTRY_ADJ$ вынудили $COUNTRY$ подписать с ними договор, вынудив многочисленные торговые и территориальные уступки.;
EVTNAME131711;Конвенция в Симле;
EVTDESC131711;Британские дипломаты обратились к тибетскому правительству, надеясь заключить мирное соглашение между Тибетом и Китаем теперь, когда Тибет стал независимым. Без сомнения, они намереваются получить влияние и территорию в нашей стране, а также стать союзником против китайской агрессии, но перспектива войны в случае провала переговоров кажется вероятной.;
EVTDESC131712;Британские дипломаты обратились к правительству $COUNTRY_ADJ$, надеясь заключить мирное соглашение между Тибетом и $COUNTRY$ теперь, когда Тибет стал независимым. Без сомнения, они намерены получить влияние и территорию в Тибете, а также стать союзником против агрессии $COUNTRY_ADJ$, но перспектива войны в случае провала переговоров кажется вероятной.;
EVTNAME131713;$FROMCOUNTRY$ согласовал;
EVTDESC131713;$FROMCOUNTRY_ADJ$ согласились с договоренностями, сделанными на Симлском съезде, и в результате наши отношения с ними улучшились, не говоря уже о нашем престиже.;
EVTNAME131714;$FROMCOUNTRY$ отказался;
EVTDESC131714;$FROMCOUNTRY_ADJ$ отказались от договоренностей Симлского съезда, в результате чего наши отношения с ними охладились.;
EVTNAME131715;Новая армия;
EVTDESC131715;Наши усилия по модернизации Бэйянской армии принесли свои плоды, но это потребовало разделения полномочий между региональными силами. Генералы, возглавляющие эти силы, «полководцы», как их называют некоторые, приобретают огромную власть. Они входят в состав Бэйянской армии, но дерутся между собой... И, что еще хуже, критикуют правительство $COUNTRY_ADJ$. Нам нужно внимательно следить за этими генералами.;
EVTNAME131720;Распространение Аньхойского влияния;
EVTDESC131720;Влияние военачальников начало распространяться на $STATENAME$. Эти генералы по-прежнему верны $COUNTRY$, но становится все более очевидным, что они берут под свой контроль значительную часть страны. Чиновники в $CAPITAL$ встревожены.;
EVTNAME131721;Распространение влияния провинции Гуандун;
EVTNAME131722;Распространение влияния Гуанси;
EVTNAME131723;Распространение Хунаньского влияния;
EVTNAME131724;Распространение влияния Фэнтянь;
EVTNAME131725;Распространение влияния Ма;
EVTNAME131726;Распространение влияния Юньнани;
EVTNAME131727;Распространение влияния Шаньси;
EVTNAME131728;Распространение сычуаньского влияния;
EVTNAME131729;Распространение влияния Синьцзяна;
EVTNAME131730;Эра полководца;
EVTDESC131730;Сопротивление правительству $CAPITAL$ завершилось падением власти. То, что началось с того, что несколько отдаленных военачальников объявили о своей независимости, закончилось тем, что самые могущественные генералы армии Бэйян боролись за контроль. Началась борьба за то, кто будет контролировать будущее судьбы Китая, и большинство из них уверены, что вскоре вся нация будет охвачена войной.;
EVTNAME131735;Борьба за Китай;
EVTDESC131735;Теперь, когда мы свободны, мы должны выбрать, где мы будем стоять в последующей борьбе за судьбу нации: либо на стороне Гоминьдана и бороться за господство в республике, либо на стороне Бэйяна и бороться за господство в объединенном Китае. В качестве альтернативы мы можем объявить о своем нейтралитете в конфликте и оставить все как есть.;
EVTNAME131736;The Guominjun Clique;
EVTDESC131736;Генерал $COUNTRY_ADJ$ по имени Фэн Юйсян предал начальство и откололся от войск Бэйян. Он и его сторонники взяли территорию под свой контроль и сформировали новую клику, поклявшуюся свергнуть правительство $COUNTRY_ADJ$.;
EVTNAME131740;Лидер Гоминьдана;
EVTDESC131740;Лидеры Гоминьдана готовятся к наступлению на Пекин, и ожидается, что $COUNTRY$ ответит на вызов. Либо мы теперь на стороне националистического Китая, либо мы должны отказаться от дела Гоминьдана и искать свою судьбу.;
EVTNAME131741;$FROMCOUNTRY$ присоединяется к Гоминьдану;
EVTDESC131741;$FROMCOUNTRY$ откликнулось на призыв и объединит свои силы с нашими.;
EVTNAME131742;Война за воссоединение;
EVTDESC131742;Люди из $COUNTRY_ADJ$ взывают к тому, чтобы нация вновь объединилась. Мы должны собраться с силами и нанести удар по тем, кто хочет разделить Китай, оставив его слабым для охоты иностранцев. Уже на улицах знамена, и генералы $COUNTRY$ говорят, что пора переходить в наступление.;
EVTNAME131743;Война с $FROMCOUNTRY$!;
EVTDESC131743;Мы получили сообщения о том, что к нашей общей границе стягивается армия $FROMCOUNTRY_ADJ$, готовая к массированному наступлению на территорию $COUNTRY_ADJ$. Кажется, война надвигается на нас, хотим мы этого или нет: либо они уничтожат нас, либо мы их уничтожим.;
EVTNAME131745;Китайское воссоединение;
EVTDESC131745;Из столицы раздался призыв: эпоха военачальников закончилась, и все китайские народы должны объединиться под единым флагом. Это означает, что $COUNTRY$ должно либо подчиниться правлению Пекина, либо столкнуться с новой войной против сильного и единого врага. Ваши генералы готовы принять вашу команду.;
EVTNAME131746;Остров Формоза;
EVTDESC131746;Теперь, когда мы владеем островом Формоза, местное минское население начало самоорганизовываться - предположительно, в конце выхода из-под контроля $COUNTRY_ADJ$.;
EVTNAME1600010;Восстание тайпинов;
EVTDESC1600010;Как мы и опасались, так называемое «Небесное Царство» взяло под свой контроль земли на юге, и все попытки местных губернаторов восстановить власть провалились. Это позор для престижа Императорского престола, что мы должны соизволить признать, что эти мятежники существуют и что с ними нужно разобраться раз и навсегда. Некоторые даже начинают сомневаться в Мандате Неба, возможна ли такая угроза. Однако если мы не будем действовать, повстанцы наверняка получат контроль не только над югом, но, возможно, и над всем Китаем.;
EVTNAME160004;Перемирие с маньчжурами;
EVTDESC160004;Хотя мы еще не закончили сражаться с ненавистными маньчжурами, на данный момент Царство Небесное претендует на победу. Мы заключили перемирие, и теперь маньчжуры должны будут справиться с восстаниями на своей земле, поскольку люди осознают, что их мандата на правление больше не существует. Весь мир смотрит на нас.;
EVTNAME160006;Война против тайпинов;
EVTDESC160006;Продолжающееся существование тайпинских повстанцев ставит в затруднительное положение правительство Цин и нашего императора. Раздаются призывы к возобновлению войны, и на этот раз к общенациональным усилиям по призыву людей в цинскую армию. Будет сильное сопротивление, но Император постановил, что Царство Небесное должно быть уничтожено!;
EVTNAME160007;Война против маньчжуров;
EVTDESC160007;Перемирие с цинским императором подошло к концу, и уже раздались призывы к продолжению тайпинской революции. Маньчжуры должны быть брошены! Весь Китай должен быть освобожден!;
EVTNAME160008;Тайпины побеждают!;
EVTDESC160008;Мы свергли ненавистных маньчжуров и взяли под свой контроль весь Китай. Теперь, на глазах у всего мира, приходит настоящее испытание: преобразование нации в истинное Царство Небесное.;
EVTNAME160011;Нехватка женщин;
EVTDESC160011;Из-за низкого значения, придаваемого рождению дочерей, детоубийство женского пола стало широко распространено на большей части Китая. Эта практика стала настолько распространенной, что фактически привела к нехватке женщин.;
EVTNAME160012;Тайпинские миссионеры в $STATENAME$;
EVTDESC160012;К нам поступили сообщения христианских миссионеров в $PROVINCENAME$, последователей так называемого «Царства Небесного». Их действия не вызывали бы столь возражений, если бы они также не проповедовали мятеж против маньчжуров, и, что гораздо хуже, хотя провинциальные губернаторы пытались остановить миссионеров, это, казалось, только усилило их поддержку. Их листовки теперь по всему $STATENAME$!;
EVTNAME160013;Антиманьчжурские настроения;
EVTDESC160013;Многим людям в Китае династия Цин кажется неэффективной и коррумпированной, управляемой маньчжурскими иностранцами. Горькая ненависть зашевелилась, особенно на юге. Особенно это касается $STATENAME$, откуда поступают сообщения о беспорядках после недавней стычки между местными жителями и маньчжурскими властями.;
EVTNAME160017;Прохристианские беспорядки в $STATENAME$!;
EVTDESC160017;Последователи «Царства Небесного» создают новые проблемы на юге. Они уже сильно укреплены внутри $PROVINCENAME$, и многие цинские советники считают, что это полностью вне нашего контроля. Анархия кажется разгулом, и по всему $STATENAME$ эти повстанцы кричат ??об измене. Никто не может что-то с этим сделать?;
EVTNAME160020;Секта тайпинов распространяется!;
EVTDESC160020;Последователи так называемого «Царства Небесного» распространили свое влияние еще дальше. По словам официальных лиц $STATENAME$, христианские повстанцы были замечены в $PROVINCENAME$, и настроения против династии Цин растут во всем штате.;
EVTNAME160025;Смерть Хун Сюцюаня;
EVTDESC160025;Наш возлюбленный лидер, славный и самый святой Хун Сюцюань, скончался и вознесся на Небеса, чтобы получить свою справедливую награду от Бога. Те из нас, кто остался, должны теперь посмотреть, что станет с Царством Небесным без его руководства. Некоторые говорят, что бразды правления должны быть отданы его сыну Хун Тяньгуйфу. Другие говорят, что Хун Тяньгуйфу — шут и что правильная республика — это путь вперед. Третьи говорят немыслимое, что смерть Хун Сюцюаня является признаком того, что Царство Небесное утратило благосклонность Бога и что единственный способ восстановить его — это восстановить династию Цин на императорском троне, не допуская, конечно, Маньчжуры будут править югом, как заблудшие комнатные собачки.;
EVTNAME160026;Отступление на Формозу;
EVTDESC160026;Когда наши владения на материке потеряны, все, что у нас осталось, — это наша крепость на острове Формоза. Среди того немногого, что осталось от правительства $COUNTRY_ADJ$, есть предложение отказаться от $CAPITAL$ и перенести столицу в Тайбэй. Это никоим образом не гарантирует нашу безопасность, но может быть единственным средством выживания, которым мы располагаем.;
EVTNAME160501;Миссионеры в $PROVINCENAME$;
EVTDESC160501;Христианские миссионеры разжигают беспорядки на юге Китая, раздавая брошюры, чтобы привлечь новообращенных. Это не было бы столь нежелательным, если бы брошюра не проповедовала также мятеж против династии Цин. Беспокоит то, что столько в $PROVINCENAME$ готовы слушать этих дураков.;
EVTNAME160502;Антиманьчжурские настроения;
EVTDESC160502;Многим людям в Китае династия Цин кажется неэффективной и коррумпированной, управляемой маньчжурскими иностранцами. Горькая ненависть зашевелилась, особенно на юге. Особенно это касается $PROVINCENAME$, откуда поступают сообщения о беспорядках после недавней стычки между местными жителями и маньчжурскими властями.;
EVTNAME1605020;Смерть Хун Сюцюаня;
EVTDESC1605020;После периода самоизоляции Хун Сюцюань умер — одни говорят от яда, другие — от болезни. Независимо от причины, нация погрузилась в траур по своему любимому лидеру. Сын Хун Сюцюаня, Хун Тяньгуйфу, готов взять на себя роль отца в качестве лидера, но некоторые опасаются, что он не подойдет. Они выступают за восстановление династии Цин. Другие говорят, что $COUNTRY$ должно стать республикой, подражая западным державам. Готово ли $COUNTRY$ к таким переменам, сказать трудно.;
EVTNAME16050214;Отступление на Тайвань;
EVTDESC16050214;Когда наши владения на материке потеряны, все, что у нас осталось, — это наша крепость на острове Тайвань. Среди того немногого, что осталось от гоминьдановского правительства, есть предложение отказаться от $CAPITAL$ и перенести столицу в Тайбэй. Это никоим образом не гарантирует нашу безопасность, но может быть единственным средством выживания, которым мы располагаем. Однако мы никогда не откажемся от наших законных прав на материк.;
EVTNAME16050215;Победа над Гоминьданом;
EVTDESC16050215;После разгрома их армий, оккупации их провинций и отступления их правительства на Тайвань стало ясно, что у Гоминьдана больше нет желания сражаться. Теперь мы можем претендовать на господство над Китаем.;
EVTNAME162503;Секта тайпинов распространяется!;
EVTDESC162503;Последователи так называемого «Царства Небесного» заполонили еще одну провинцию. По словам официальных лиц $PROVINCENAME$, были замечены последователи Хун Сюцюань, и настроения против династии Цин растут.;
EVTNAME164503;Царство Небесное;
EVTDESC164503;В южных землях появился возмутитель спокойствия. Согласно сообщениям, этот человек утверждает, что получил видение о том, что он младший брат Иисуса Христа и был послан, чтобы избавить Китай от коррумпированных правителей маньчжурской династии Цин. Он завоевывает новообращенных в христианство, и кажется, есть много желающих выслушать его призывы к мятежу и присоединиться к его так называемому «Царству Небесному».;
EVTNAME164504;Hong Xiuquan;
EVTDESC164504;Человеку, стоящему за так называемым «Небесным Царством», дали имя: Хун Сюцюань. Бывший фермер, который пытался сдать экзамены на государственную службу в Гуанчжоу и потерпел неудачу, теперь он стал харизматическим провидцем, пользующимся антиманьчжурскими настроениями на юге. Некоторые говорят, что он сумасшедший и сумасшедший, но, тем не менее, он представляет опасность для династии Цин, и его слова находят нетерпеливые уши.;
EVTNAME164505;Yang Xiuqing;
EVTDESC164505;Во дворец поступили сообщения о том, что продавец дров отправился гулять по Южным землям, утверждая, что говорит голосом Бога. Несмотря на его кажущееся безумие, этот человек доказал свою эффективность в распространении информации о так называемом «Царстве Небесном».;
EVTNAME164599;Синьхайская революция;
EVTDESC164599;Силы революции повернулись против $COUNTRY_ADJ$ Императора. Поскольку инакомыслие грозит перерасти в хаос, лидеры армии Бэйян потребовали от императора отречения от престола. Ликующие толпы в $CAPITAL$ приветствовали эту новость, но мало кто знает о силах, которые сейчас выстраиваются в очередь, чтобы взять под контроль правительство. Гоминьдановцы потребовали преобразования $COUNTRY$ в республику со свободными выборами. Однако армейские лидеры пригрозили выступить против Гоминьдана и потребовали, чтобы республика находилась под строгим контролем Бэйяна.;
EVTNAME164600;The Tongmenghui;
EVTDESC164600;Революционные общества возникают по всему Китаю, и недавно мы получили известие, что некоторые из этих обществ объединились под названием «Тунмэнхуэй» или «Объединенная китайская лига». Их заявленная цель - возрождение Чжунхуа или концепции, согласно которой Китай должен быть нацией, управляемой республикой, которая представляет все его различные народы. Эти революционеры желают, чтобы $COUNTRY$ освободилось от иностранного влияния, и, похоже, не удовлетворены ожиданием и тем, какие реформы проведет монархия $COUNTRY_ADJ$. Что еще более тревожно, так это то, что некоторые из региональных полевых командиров, похоже, им помогают.;
EVTNAME164601;Революционное восстание в $STATENAME$;
EVTDESC164601;Революционеры, стремящиеся свергнуть монархию $COUNTRY_ADJ$, поднимают бунт в $STATENAME$. Инцидент, по-видимому, начался в $PROVINCENAME$ после того, как демонстрация местных рабочих переросла в насилие. Хотя власти уже въехали, ущерб нанесен. Остается определить, как мы реагируем на эту возмутительную провокацию.;
EVTNAME164602;Боксеры в $STATENAME$;
EVTDESC164602;Члены протонационалистического Движения Ихэтуань, также известные как Боксеры, устроили восстание в $PROVINCENAME$. В то время как восстание было первоначально подавлено силами $COUNTRY_ADJ$, новости о присутствии движения распространились по всему $STATENAME$, и уже есть новые сообщения о столкновениях.;
EVTNAME199005;Старатель находит уголь!;
EVTDESC199005;У нас есть сообщения от $PROVINCENAME$, что обнаружена новая жила угля, и, учитывая безработицу в $PROVINCENAME$, это может оказаться действительно благом.;
EVTNAME199006;Старатель находит медь!;
EVTDESC199006;У нас есть сообщение от $PROVINCENAME$, что обнаружена новая медная жила, и, учитывая безработицу в $PROVINCENAME$, это может оказаться действительно благом.;
EVTNAME199007;Геолог кует железо!;
EVTDESC199007;У нас есть сообщения от $PROVINCENAME$, что обнаружена новая железная жила, и, учитывая безработицу в $PROVINCENAME$, это может оказаться действительно благом.;
EVTNAME199008;Старатель наносит удары свинцом!;
EVTDESC199008;У нас есть сообщения от $PROVINCENAME$, что обнаружена новая жила свинца, и, учитывая безработицу в $PROVINCENAME$, это может оказаться действительно благом.;
EVTNAME199009;Разведчик наносит удар по сере!;
EVTDESC199009;У нас есть сообщение от $PROVINCENAME$, что открыто новое месторождение серы, и, учитывая безработицу в $PROVINCENAME$, это может оказаться действительно благом.;
EVTNAME199015;Товарные культуры;
EVTDESC199015;Учитывая уровень безработицы в $PROVINCENAME$, местные землевладельцы начали движение за переход на производство товарных культур — в данном случае хлопка, который, по-видимому, подходит для местной местности. Поможет ли такой план $PROVINCENAME$ в долгосрочной перспективе, неизвестно, но землевладельцы просят помощи правительства в развитии производства хлопка.;
EVTDESC199016;Учитывая уровень безработицы в $PROVINCENAME$, местные землевладельцы начали движение за переход на производство товарных культур — в данном случае чая, который, по-видимому, подходит для местной местности. Поможет ли такой план $PROVINCENAME$ в долгосрочной перспективе, неизвестно, но землевладельцы просят у правительства помощи в развитии производства чая.;
EVTDESC199017;Учитывая уровень безработицы в $PROVINCENAME$, местные землевладельцы начали движение за переход на производство товарных культур, в данном случае специй, что, по-видимому, подходит для местной местности. Поможет ли такой план $PROVINCENAME$ в долгосрочной перспективе, неизвестно, но землевладельцы просят помощи правительства в развитии производства специй.;
EVTDESC199018;Учитывая уровень безработицы в $PROVINCENAME$, местные землевладельцы начали движение за переход на производство товарных культур - в данном случае овец и шерсти, что, по-видимому, подходит для местной местности. Поможет ли такой план $PROVINCENAME$ в долгосрочной перспективе, неизвестно, но землевладельцы просят помощи правительства в развитии производства шерсти.;
EVTDESC199019;Учитывая уровень безработицы в $PROVINCENAME$, местные землевладельцы начали движение за переход на производство товарных культур — в данном случае фруктов, которые, по-видимому, подходят для местной местности. Поможет ли такой план $PROVINCENAME$ в долгосрочной перспективе, неизвестно, но землевладельцы просят помощи правительства в развитии производства фруктов.;
EVTDESC199020;Учитывая уровень безработицы в $PROVINCENAME$, местные землевладельцы начали движение за переход на производство товарных культур — в данном случае табака, который, по-видимому, подходит для местной местности. Поможет ли такой план $PROVINCENAME$ в долгосрочной перспективе, неизвестно, но землевладельцы просят помощи правительства в развитии табачного производства.;
