EVTOPTB13160;Казнить его;
EVTOPTA13160;Отдайте его иностранцам;
EVTNAME13170;$FROMCOUNTRY$ казнит матроса!;
EVTDESC13170;Пришла депеша от нашего атташе в $FROMCOUNTRY$ о трагедии моряка нашего торгового флота. Судя по всему, моряк убил местного жителя в драке во время длительного увольнения на берег в $FROMPROVINCE$. Несмотря на давление со стороны нашей дипломатической миссии, он был впоследствии судим и расстрелян по законам $FROMCOUNTRY_ADJ$. Скорбя о его кончине, мы также должны подумать о том, что нам делать с этим тяжким и серьезным оскорблением нашей национальной чести.;
EVTOPTA13170;Отправить карательную экспедицию;
EVTOPTB13170;Пейте горькую чашу;
EVTNAME13180;$FROMCOUNTRY$ предоставляет экстерриториальность;
EVTDESC13180;До нас доходит известие от $FROMCOUNTRY$, что решили разрешить судить иностранцев по законам их родных стран. Несомненно, вызванные давлением внутри кругов великих держав, тем не менее, это хорошие новости.;
EVTOPTA13180;Мы рады;
13185.A;Посетите мероприятие.;
13185.B;Мусор. Нам не нужны их методы.;
13186.A;Мы с радостью поддержим эту инициативу.;
13186.B;У них есть наше разрешение продолжать, но мы не можем предложить никакой поддержки.;
13186.C;Это не в наших интересах.;
EVTNAME13190;Военная реформа;
EVTDESC13190;Поскольку европейское присутствие в нашей части мира неуклонно растет, потребность в военной реформе с каждым днем ??становится все более острой. Там, где европейцы выставляют полки обученных профессионалов, мы встречаем их с армией старой и устаревшей, организованной по принципу клановой, семейной, дворянской и личной лояльности.;
EVTOPTA13190;Реформировать армию;
EVTOPTB13190;Мы не откажемся от наших традиционных способов;
EVTNAME13200;Голос нашего мастера;
EVTDESC13200;Мы потерпели поражение. Несмотря на нашу политику гордой изоляции, враждебный мир вторгся в нашу жизнь. $SPHEREMASTER$ заставило нашу страну открыться, а притяжение их мощи и власти вывело нашу политическую жизнь на орбиту вокруг их. Иностранные торговцы, миссионеры и шпионы пересекают наши границы, все время подрывая наш традиционный суверенитет над этой, нашей родиной. Мы больше не хозяева своей судьбы, теперь наш главный приоритет — повиноваться. Но какая-то темная ночь...;
EVTOPTA13200;Мы выжидаем время;
EVTOPTB13200;Свобода или смерть!;
EVTNAME13201;Дипломатическая миссия в осаде!;
EVTDESC13201;Из $FROMCOUNTRY$ до нас доходит известие, что местные правящие элиты выгнали нашего посла из страны и что их войска осаждают наше посольство с явным намерением добиться выполнения этого решения. Это дело перерастает в огромную потерю международного лица, избежать которой можно только путем формального объявления войны $FROMCOUNTRY$. Сир, как мы должны ответить?;
EVTOPTA13201;Джинго!;
EVTOPTB13201;Возможно, стоит дать $FROMCOUNTRY_ADJ$ Дракону поспать.;
13202.A;Мы будем отстаивать наши интересы.;
13202.B;Мы не пойдем на войну из-за этого.;
EVTNAME13210;Рескрипт об образовании;
EVTDESC13210;Так вы будете не только Нашими добрыми и верными подданными, но и прославите лучшие традиции ваших предков.'\n\nСистема образования $COUNTRYNAME$ глубоко погрязла в древних традициях и устоявшихся догмах. Хотя она помогала поддерживать традиционный порядок в прошлые эпохи, старая система с трудом интегрирует новые знания, распространяемые цивилизованными странами Запада. Реформируя систему, мы рискуем нарушить корыстные интересы традиционалистов, но можем ли мы позволить себе этого не делать?;
EVTOPTA13210;Стремление к реформе;
EVTOPTB13210;Старые способы терпят;
EVTNAME13220;Посольский квартал;
EVTOPTA13220;Они лучше оценят это;
EVTOPTB13220;Почему? Им нечего нам предложить?;
EVTNAME13230;Посол убит;
EVTDESC13230;Бродить в одиночестве по улицам $CAPITAL$ может быть опасно, как недавно узнал иностранный посол в Посольском квартале. Охранники сообщают, что нашли его мертвым в 4 часа утра, по-видимому, жертвой ограбления, однако иностранцы обвиняют нас в том, что мы не выполнили свои предполагаемые обязанности по защите их дипломатов. Мы опасаемся, что даже формальных извинений будет недостаточно, чтобы успокоить их, однако, что-то более ощутимое может...;
EVTOPTA13230;Нехотя поставить памятник дипломату;
EVTOPTB13230;Извинись, но остановись на этом;
EVTOPTC13230;Это чепуха, он сам себе навредил!;
EVTNAME13240;Корабль у наших берегов;
EVTDESC13240;Масляная лампа мерцала, отбрасывая оранжевое, закопченное свечение на влажно-коричневый цвет грузового отсека. Среднестатистический корабль, стоящий в $PROVINCENAME$, мало что вызывал удивление, но годы, когда иностранные купцы дурачили и дурачили снова и снова, пытаясь уклониться от того или иного акциза, оставили у него шестое чувство на случай, если что-то пойдет не так. Его предупредила крыса, снующая между ящиками. Сладкий, резкий запах, слишком знакомый, чтобы не быть соблазнительным. Опиум. Грузовой отсек, полный опиума.;
EVTOPTA13240;Отвернуть корабль;
EVTOPTB13240;Пусть это через;
EVTNAME13250;$FROMCOUNTRY$ Свободная торговля!;
EVTDESC13250;Одного из наших трейдеров некоторое время назад выгнали из порта в $FROMPROVINCE$. Предположительно, он был обнаружен местными таможенниками при попытке контрабанды опия, несмотря на запрет $FROMCOUNTRY_ADJ$ на ввоз опия. Либеральный политик в нашей нижней палате обратился к этому вопросу.\n\n'Право на свободную и открытую торговлю через моря и на суше является одним из неотъемлемых прав человечества. Нашим правам было отказано в $FROMCOUNTRY$, и мне интересно, как долго правительство будет терпеть эти пренебрежения со стороны нецивилизованных язычников.;
EVTOPTA13250;Свободная торговля — это справедливая торговля!;
EVTOPTB13250;У нас есть более важные дела, которыми нужно заняться;
EVTNAME13260;$FROMCOUNTRY$ требует доступа к торговле!;
EVTDESC13260;Ваши торговые ограничения — позор для мира и для вас самих. Лояльные подданные $FROMCOUNTRY_ADJ$, просто желающие, чтобы их права торговли были защищены, были отвергнуты из ваших портов, и мы просим немедленно устранить это пренебрежение. $COUNTRYNAME$ прекратит это нарушение или приготовится к последствиям.;
EVTOPTA13260;Сгибание под ветром также является формой сопротивления.;
EVTOPTB13260;Вы делаете все возможное, и мы сделаем все возможное;
EVTNAME13270;$COUNTRY_ADJ$ Опиумная война;
EVTDESC13270;Торговые споры между $FROMCOUNTRY$ и великими державами продолжались со второй половины 18 века. Наконец, напряжение в $MONTH$ и $YEAR$ достигло точки кипения, когда чиновники $FROMCOUNTRY_ADJ$ неоднократно отклоняли запросы $COUNTRY_ADJ$ на неограниченный доступ к торговле, включая отмену запрета на продажу опиума. У правительства $COUNTRY_ADJ$, уже глубоко вовлеченного в политику конфронтации, не было выбора, кроме как объявить войну, таким образом, $COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Опиумная война началась.;
EVTOPTA13270;Ура!;
EVTNAME13280;Аристократы возмущены;
EVTDESC13280;Реформы, охватившие нашу страну, расстроили земельную элиту в одном из наших городов.;
EVTOPTA13280;Взрыв!;
EVTNAME13290;100 дней реформ;
EVTDESC13290;Наше поражение в прошлой войне дало нам четкое осознание того, что определенные вещи в нашей стране должны адаптироваться к реалиям нового мира, и быстрая кампания реформ может привести нас к этому.;
EVTOPTA13290;Большая реформа!;
EVTOPTB13290;Малая реформа.;
westernize_nation_title;Примите вестернизацию;
westernize_nation_desc;Наша страна находится под интеллектуальной атакой современности и западного мира. В области современной техники, промышленности и военной теории старые традиции и институты уже не служат нам так, как раньше. Куда бы мы ни повернулись, западное влияние распространяется, как лесной пожар, через нашу нацию, наше население и наши души. Если мы хотим остаться теми, кем всегда были, а не стать чем-то совершенно другим, сейчас самое время взять на себя управление собственной судьбой. Для ведущих членов нашей интеллектуальной элиты стало очевидным, что единственный способ переломить ситуацию с Западным Левиафаном — это плыть вместе с ним, ибо, как говорит Сунь Ту: сопротивления.;
60000.T;Коммунисты захватывают власть;
EVTDESC60000;Путем парламентской классовой борьбы и как следствие обострения классовой борьбы в связи с возрастающей эксплуатацией пролетариата капиталистическими классами, постепенной концентрацией средств производства в руках немногих, дубиной и револьвером, нашей так называемой демократия превратилась теперь в диктатуру пролетариата.;
EVTOPTA60000;Отлично, товарищ!;
60010.T;Военный переворот;
EVTDESC60010;Обеспокоенное нарастающим хаосом в $COUNTRY$, руководство $COUNTRY_ADJ$ вмешалось, чтобы объявить военное положение и взять на себя полный контроль над правительством. Гражданские свободы урезаны, и уже на улицах $CAPITAL$ растет уверенность, что это начало военной диктатуры. Сможет ли новое правительство так быстро отказаться от власти после того, как нынешний кризис минует?;
60010.A;Это временно, пока кризис не пройдет.;
60020.T;Анархо-либералы захватывают власть;
EVTDESC60020;В интересах защиты принципов свободы от сокрушительного натиска демократии, плебейской аристократии и власти толпы комитет неравнодушных граждан захватил власть и превратил страну в минимальную государственную диктатуру. Говорят, это временно.;
EVTOPTA60020;я люблю демократию;
60030.T;Фашистский государственный переворот;
EVTDESC60030;Право голоса урезано, партийная система постепенно переходит под контроль государства, и буквально вчера в палату был принят законопроект о расширении чрезвычайных полномочий государства. Знаки четкие и понятные. Фашистская правящая партия превратила нашу страну из демократии в фашистскую диктатуру.;
60030.A;Наша судьба ждет.;
EVTNAME60050;$COUNTRY_ADJ$ Оттепель;
EVTDESC60050;Диктатура уже не та. Усиление плюрализма в сочетании с расширенными политическими реформами привело к тому, что диктатура все больше и больше приобретала атрибуты демократии. Хотя это не обязательно означает, что партия отказалась от господства у власти, это означает, что у оппозиции теперь есть шанс быть услышанным.;
EVTOPTA60050;Свобода!;
EVTNAME60040;Восстановление монархии;
EVTDESC60040;Ваше Величество, в связи с нестабильной парламентской ситуацией мы не видим другого выхода, кроме как объявить о восстановлении короны на принципах абсолютной монархии. Принципы и документы $COUNTRY_ADJ$ конституционализма с немедленным вступлением в силу объявляются недействительными. Да здравствует король!;
EVTOPTA60040;Да здравствует король!;
#EVTNAME60060;Ограниченный конституционализм;
#EVTDESC60060;Политические реформы, проведенные за последние несколько лет, привели к тому, что абсолютизм нашей монархии теперь может быть законно поставлен под сомнение. Король больше не волен диктовать курс нации в соответствии со своими собственными размышлениями, но вместо этого ему пришлось принять несколько конституционных ограничений и ограничений на осуществление им власти. По этим причинам наша форма правления уже не может быть наиболее точно описана как абсолютная монархия.;
EVTNAME60070;Расширенный конституционализм;
EVTDESC60070;Широкие реформы нашей партийной системы, проведенные за последние несколько лет, превратили нашу страну из абсолютной монархии в конституционную монархию. Монарх, теперь выступающий в качестве символического главы государства, больше не имеет власти лично контролировать и определять судьбу нации, а вместо этого вынужден принимать смягчающее влияние плюрализма и ограниченной демократии.;
EVTOPTA60070;Да здравствует король!;
60080.T;Право голоса аннулировано;
EVTDESC60080;В последнее время к вам подкралось жуткое чувство, что $COUNTRY$ замолкает. Там, где раньше можно было услышать свободный обмен мнениями и идеями, от перекрестков и автобусных остановок до баров и университетов, теперь только звуки тишины дают эхо. Вывод, который становится все более очевидным, состоит в том, что традиция $COUNTRY_ADJ$ демократии ниспровергнута. В $COUNTRY$, по крайней мере, правительство для народа и посредством народа исчезло с лица земли.;
60080.A;Да здравствует Президент!;
60090.T;Право голоса аннулировано;
60090.A;Да здравствует буржуазия!;
60100.T;Право голоса аннулировано;
60100.A;Рабочие победили!;
60110.T;Право голоса аннулировано;
60110.A;$COUNTRY_ADJ$ Судьба!;
EVTNAME60120;Рост федерализма;
EVTDESC60120;Чувство культурного национализма захлестывает $COUNTRY$, так как люди начинают требовать объединения с нашими культурными собратьями в $CULTURE_GROUP_UNION$. У нас мало оснований сомневаться в том, что они будут возражать против петиции об аннексии.;
EVTOPTA60120;Давай сделаем это;
EVTNAME60130;$FROMCOUNTRY$ Ходатайства о присоединении;
EVTDESC60130;После всплеска народных националистических настроений правительство $FROMCOUNTRY_ADJ$ обратилось к нашим властям в $CAPITAL$ с официальным запросом о том, чтобы им разрешили присоединиться к $COUNTRY$ в бессрочный союз. Кажется, нет особых причин возражать против этого шага.;
EVTOPTA60130;Давай сделаем это;
EVTOPTB60130;Ей богу нет, $FROMCOUNTRY_ADJ$ мразь;
EVTNAME60140;Конституционная конвенция;
EVTOPTA60140;Иначе люди воспользуются ситуацией;
EVTNAME60160;Рождение нации;
EVTDESC60160;Сегодня в $CAPITAL$ собрались толпы, чтобы отпраздновать независимость $COUNTRY$. В современном мире независимость может быть мимолетной вещью, поэтому мы должны наслаждаться ею, пока можем. Сегодня из каждого окна и угла развеваются флаги $COUNTRY_ADJ$, а ликующие горожане поют гимн $COUNTRY_ADJ$. Это сердечная тема, которая говорит о лучшем завтрашнем дне.;
60160.A;Ура $COUNTRY$!;
EVTNAME600795;Отсутствует локализация. Пожалуйста, сообщите об этом разработчику Divergences.;
EVTDESC60095;Отсутствует локализация. Пожалуйста, сообщите об этом разработчику Divergences.;
60095.A;Да здравствует народная республика!;
EVTNAME46440;Распад Гран Колумбии;
EVTDESC46440;Было согласовано, что Гран Колумбия должна быть разделена, но еще не принято решение о том, кто будет решать, как разделить Гран Колумбию.;
EVTOPTA46440;Я решу.;
EVTOPTB46440;Народ решит.;
EVTNAME46441;Мезоамерика;
EVTDESC46441;Как будет разделена Мезоамерика?;
EVTOPTA46441;Он должен быть единым.;
EVTOPTB46441;Он должен быть разделен.;
EVTOPTC46441;Пусть решает народ.;
EVTNAME46442;Америга;
EVTDESC46442;Как разделить Америгу?;
EVTOPTA46442;Он должен быть единым.;
EVTOPTB46442;Он будет разделен на Гранаду, Кито и Эссекибо.;
EVTOPTC46442;Он будет разделен на Гранаду, Кито, Арекипу и Эссекибо.;
EVTOPTD46442;Он должен быть полностью разделен.;
EVTOPTE46442;Пусть решает народ.;
EVTNAME46443;Мексика;
EVTDESC46443;Как разделить Мексику?;
EVTOPTA46443;Он должен быть единым.;
EVTOPTB46443;Майя должны иметь свое собственное государство.;
EVTOPTC46443;Майя, пурепеча и сапотеки должны иметь свои собственные государства.;
EVTOPTD46443;Майя, пурепеча, сапотеки и науа должны иметь свои собственные государства.;
EVTOPTE46443;Пусть решает народ.;
EVTNAME46444;Халиско;
EVTDESC46444;Будет ли Халиско независимым?;
EVTOPTA46444;Нет;
EVTOPTB46444;Да;
EVTOPTC46444;Пусть решает народ.;
46445.T;Бороться за свободу!;
46445.D;Различные республики объединяются против испанского угнетателя. Однако не факт, что так будет всегда...;
46445.A;Да здравствует революция!;
46446.T;Конец колониальной войны;
46446.D;Мы победили революционеров и вернули себе наши колонии! Да здравствует Испания!;
46446.A;Да здравствует Испания!;
CLM1.T;Реорганизация Великой Колумбии;
CLM1.D;Теперь, когда мы победили повстанцев, мы должны решить, как мы будем управлять этой огромной территорией. Некоторые выступают за сохранение колумбийцев под нашим правлением, но успешное управление территорией будет стоить нам огромных денег. Большинство из них предлагают самоуправление. Некоторые предлагают восстановить вице-королевства Лузитании, Мексики и Гранады вместе с генерал-капитанством Большого Сальвадора. Однако мы могли бы также переместить территорию Гранады между колонией вокруг Картахены, основав новое капитанство в Эссекибо и отдав остальную часть Огненной Земли кастильскому вице-королю вокруг Каракаса. Провинции Анды будут разделены между Арекипой и Кито, и, чтобы избежать сильной Мексики, мы разделим Халиско. Выбор в руках короля.;
46447.A;Лучше всего держать их под нашим наблюдением.;
46447.B;Восстановить вице-королевство;
46447.C;Разделите старые вице-королевства;
CLMcusco.T;Вопрос о Куско.;
CLMcusco.D;Старый имперский город империи инков находится в наших руках с момента окончания восстания. Куско находится под нашим контролем с 1575 года, но этот район по-прежнему населен преимущественно народом кечуа, и немногие переняли наши обычаи. Кое-кто в нашем правительстве предложил передать территории, зависящие от столицы Арекипы, империи инков в благодарность за их вмешательство во время войны. Хотя они были вынуждены сдаться, инки решили исход войны, убив лидера повстанцев Боливара. Уступка Куско, несомненно, обеспечит нам период мира в Колумбии и ослабит напряженность, накопившуюся за эти годы.;
46448.A;Сохраним конечно;
46448.B;Мы дадим им это в качестве платы за их помощь;
CLM_lib1.T;Конец восстания;
CLM_lib1.D;Повстанцы распространили либеральные идеи по всей Колумбии, и многие люди в наших колониях склоняются к ним. Многие солдаты, сражавшиеся на войне, слышали о них, и кажется, либеральную гидру будет трудно остановить. Мы можем сохранить абсолютизм и заставить колонии склониться перед нашими представителями. Однако примирение с ними, позволив им избирать свое правительство под нашим наблюдением, будет оценено за Атлантикой, но вызовет инакомыслие здесь, в Испании. Или, проще говоря, мы могли бы предоставить Конституцию как колумбийцам, так и испанскому народу.;
46449.A;Абсолютизм сделает нашу империю сильной;
46449.B;Самоуправление для колоний, но абсолютизм дома;
46449.C;Война доказала необходимость реформ тут и там;
CLM_lib2.T;Королевский террор;
CLM_lib2.D;Королевские офицеры обеспечивают соблюдение испанского закона в нашей стране...;
46450.A;Все приветствуют короля...;
CLM_lib3.T;Новая Конституция;
CLM_lib3.D;Король предоставил нам концессии и частичное самоуправление!;
46451.A;Всем привет Король!;
CLM_lib4.T;Вмешательство губернатора;
CLM_lib4.D;Губернатор ставит политику в соответствии с испанским законодательством. Никакая реформа не разрешена Короной...;
46453.A;Губернатор знает, что лучше;
CLM_lib5.T;Конец колониального порядка?;
CLM_lib5.D;С падением абсолютизма в Испании наши подданные из Колумбии просят нас предоставить им частичное самоуправление.;
46454.A;Мы позволим колониям иметь частичное самоуправление.;
46454.B;Это не подходящее время;
CLM10.T;Лузитания восстановлена;
CLM10.D;Возрадуйтесь, граждане Гран Колумбии! Наши армии изгнали испанский корпус, занявший лузитанское побережье. Лоялисты в этом районе уже сделали обильное пожертвование на военные нужды.;
46460.A;Вперед к победе!;
CLM11.T;Юкатан отвоеван;
CLM11.D;После ожесточенных боев в джунглях наши вооруженные силы успешно отбросили монархистов с полуострова Юкатан. Угроза сердцу сопротивления была устранена, и было сделано щедрое пожертвование на военные нужды!;
46461.A;Вперед к победе!;
CLM12.T;Carthago Nova deleta est;
CLM12.D;Регион Антиокия был отвоеван славными силами Его Величества. Когда-то сердце вице-королевства Гранады, Картахена-де-Индиас теперь лежит в руинах. Жертва ожесточенных боев между лоялистами и независимыми, город был обстрелян испанским флотом в 1819 году и так и не восстановился полностью. Однако многие местные землевладельцы доверяют монархии восстановление города и сделали милостивое пожертвование, чтобы помочь победить повстанцев.;
46462.A;Вперед к победе!;
CLM13.T;Куско взят обратно;
CLM13.D;Наши войска маршируют по улицам старой столицы империи инков. Разграбление района принесло короне хорошую выгоду, а контроль над регионом Америган показывает, что война скоро закончится.;
46463.A;Вперед к победе!;
CLM14.T;Частичный мир?;
CLM14.D;Победа на Юкатане и в Лузитании не может скрыть жестокости войны. Может быть, мы могли бы попытаться договориться с испанцами, чтобы обеспечить революцию на северных территориях? Мы могли бы уступить им территории Гранады, чтобы зализать наши раны, а затем спасти их.;
46464.A;Вся Колумбия будет свободна, или никто;
46464.B;Попробуйте договориться...;
CLM15.T;Мир в Колумбии?;
CLM15.D;Представители повстанцев подошли к нам, чтобы обсудить мир. Они готовы отказаться от всех гранадских территорий, если мы примем независимость их Федерации.;
46465.A;Взять Гранаду и Андагою.;
46465.B;Мы не будем довольствоваться одной Гранадой. Вперёд в Мексику!;
CLM16.T;Картахенский договор;
CLM16.D;После долгой и кровопролитной войны представители Мексики договорились о мире с испанской короной. Великая Колумбия признана независимой нацией, но все территории, зависящие от старого вице-королевства Гранады, вместе с Андагойей будут переданы Испании. В Новой Лиссабоне и Сан-Сальвадоре уже собираются толпы, чтобы обвинить в поражении мексиканское правительство и так называемого президента Миранду. Что будет с Федерацией?;
46466.A;По крайней мере, Центральная Америка будет свободна...;
CLM17.T;Администрация Гранады;
CLM17.D;Картахенский договор оставил нам много возможностей в Америке. Мы могли бы сохранить старый порядок, но ценой усиления восстаний или допустить самоуправление. В последнем мы должны решить, как разделить площадь. Сохранение сильной Гранады может быть необходимо против воюющей Федерации на севере, но это также может быть опасно, если она взбунтуется...;
46467.A;Держите их под нашим непосредственным управлением;
46467.B;Восстановите вице-королевство Гранады для управления этими территориями.;
46467.C;Разделите старое вице-королевство;
CLM18.T;Законность под вопросом;
CLM18.D;С подписанием Картахенского мира власть Мексики над Федерацией ослабла. И лузитанцы, и мезоамериканцы просят провести конгресс в Мексике, чтобы решить будущее федерации. Однако многие генералы опасаются исхода этой сессии, а сторонники героя войны Санта-Анны хотят, чтобы он принял командование. Однако такой шаг только усилит различные независимые движения...;
46468.A;Созовите Конгресс через два месяца, мы верны демократическим идеям;
46468.B;Мы не можем допустить разделения, пока король держит Андагою!;
CLM19.T;Конгресс Мексики: открытие;
CLM19.D;Различные представители от всей Федерации прибыли в Мехико, чтобы решить свое будущее.;
46469.A;Пусть дебаты состоятся;
CLM20.T;Конгресс Мексики: закрытие;
CLM20.D;Конец съезда: что выбрали?;
46470.A;Что ждет Федерацию?;
CLM21.T;Конгресс Мексики: Объединенная Великая Колумбия;
CLM21.D;Несмотря на явное недоверие к правительству, Федерация будет продолжать жить. С включением месоамериканцев и лузитанцев в состав нашего правительства мы сможем подготовить освобождение Гранады!;
46471.A;Теперь мы должны спасти гранадцев...;
CLM22.T;Конгресс Мексики: конец Федерации;
CLM22.D;Лузитанцы и Мезоамериканцы проголосовали за конец Великой Колумбии. Недоверие, страх, накопленный против мексиканского правительства, проявились, и уже слишком поздно сохранять Великую Колумбию такой, какая она есть.;
46472.A;Это конец Федерации...;
CLM23.T;Конгресс Мексики: Отдел Мексики;
46473.A;Как мы упали так низко?;
CLM24.T;План Веракруса;
CLM24.D;Поддерживать порядок в Великой Колумбии было трудно с тех пор, как Санта-Анна стала президентом. Либералы критикуют «чрезвычайные меры», предпринятые Санта-Анной, и некоторые уже думают, что испанское господство будет мягче, чем то, которое навязывает мексиканская армия. Чтобы помочь бороться с сепаратистскими движениями в Лузитании и Мезоамерике, Санта-Анна встретилась в Веракрусе с Инасио Мадейрой и Хосе Морасаном. Первый — лузитанский герой войны, который возглавил отвоевание Новой Лиссабона в последние моменты войны и, таким образом, приобрел престижную фигуру в Лузитании. Второй является символом ассимиляции коренного населения, его семья действительно происходит от касиков майя, которые затем стали великими фигурами в Сан-Сальвадоре. Лидер войны за независимость, он почитается как майя, так и населением Мезоамериган. Вместе с этими двумя выдающимися личностями Санта-Анна разработала план, согласно которому страна будет разделена на три сферы влияния до тех пор, пока Федерация не будет готова снова сразиться с испанцами.;
46474.A;Это не похоже на то, что у нас есть другой выбор;
46474.B;Лузитания - прекрасное место для правления...;
CLM25.T;Форт Монклова;
CLM25.D;После плана Веракруса в Теджасе возникла напряженность. Мадейра всегда отказывалась принимать мексиканские претензии на территории, принадлежавшие вице-королевству Лузитании. Но Санта-Анна недавно заявила о небольшом гарнизоне возле Монклова, чтобы разозлить Мадейру. Он отреагировал и разрушил форт, убив мексиканских солдат. Теперь война против Мексики за независимость Лузитании!;
46475.A;Пришло время положить конец правлению Санта-Анны! Лузитания будет свободна!;
CLM26.T;Инцидент в Теджасе;
CLM26.D;Мексиканские войска были убиты в форте, расположенном на лузитанской территории! Мадейра отказалась осудить нападение и провозгласила независимость Лузитании, свободной от Мексики!;
46476.A;Мадейра узнает свое место!;
CLM27.T;Вестник из Сальвадора;
CLM27.D;Морасан отказался принимать меры против Мадейры! Кроме того, он хочет, чтобы мы признали независимость жителей Мезоамерики, иначе он пойдет войной на Мексику...;
46477.A;Моразан тоже? Он тоже будет раздавлен!;
46477.B;Оставь его, Мадейра опаснее;
CLM28.T;Провал плана Веракрус;
CLM28.D;В условиях продолжающейся войны никто не может сказать, что мы представляем Федерацию...;
46478.A;Мы перековаем Великую Колумбию железом и кровью!;
CLM29.T;Тараскское восстание.;
CLM29.D;Воспользовавшись войной, националисты объявили Пурепачу свободным!;
46479.A;Тараски узнают, как мы относимся к повстанцам в Мексике!;
CLM31.T;Восстание сапотеков;
CLM31.D;Воспользовавшись войной, националисты объявили Оахаку свободной!;
46481.A;О чем думают сапотеки?;
CLM32.T;Либеральное восстание!;
CLM32.D;Либеральная оппозиция взяла под свой контроль западные провинции и полна решимости захватить Мексику!;
46482.A;Проклятые либералы!;
CLM33.T;Конституция Халиско;
CLM33.D;Мы отличаемся от Санта-Анны;
46483.A;Для людей!;
CLM34.T;$FROMCOUNTRY_ADJ$ Ультиматум;
CLM34.D;С падением Федерации наши бывшие испанские повелители пытаются восстановить контроль над своей разрушенной империей. В любом случае мы должны решить будущее $COUNTRY$.;
